Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	Organism.Name	SetID	No of files in set	TaxID	Size.Mb.	Actual.Size	GC.	Scaffolds	Assembly.Accession
Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	MGYG-HGUT-02369	Clostridioides difficile	SET_16	2	1496	4.19004	4190038	28.7	1	GCA_902386365.1
Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter massiliensis (ex Traore et al. 2017)	Marseille-P2775	Gordonibacter massiliensis (ex Traore et al. 2017)	SET_17	2	1841863	3.94817	3948172	65.1	1	GCA_900170005.1
Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter massiliensis (ex Traore et al. 2017)	MGYG-HGUT-02409	Gordonibacter massiliensis (ex Traore et al. 2017)	SET_17	2	1841863	3.94817	3948172	65.1	1	GCA_902386835.1
Bacteria	Pseudomonadati	Verrucomicrobiota	Opitutia	Opitutales	Opitutaceae		Opitutaceae bacterium	AMR_MDS_3307	Opitutaceae bacterium	SET_18	2	2006848	3.15071	3150706	64.8	260	GCA_035399045.1
Bacteria	Pseudomonadati	Verrucomicrobiota	Opitutia	Opitutales	Opitutaceae		Opitutaceae bacterium	CTOTU18272	Opitutaceae bacterium	SET_18	2	2006848	3.15071	3150706	64.8	260	GCA_036838005.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius	85SAD2	Staphylococcus pseudintermedius	SET_20	2	283734	2.59708	2597084	37.4	55	GCA_036409485.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius	85T3	Staphylococcus pseudintermedius	SET_20	2	283734	2.59708	2597084	37.4	55	GCA_036409535.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus kozodoii	DSM 17907	Xenorhabdus kozodoii	SET_25	2	351676	4.12777	4127775	44.7	140	GCA_002632875.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus kozodoii	ena-yuan-GCF_002632875.1	Xenorhabdus kozodoii	SET_25	2	351676	4.12777	4127775	44.7	140	GCA_963876105.1
Bacteria	Thermotogati	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae		Petrotogaceae bacterium	AMR_MDS_3329	Petrotogaceae bacterium	SET_26	2	2819251	1.31065	1310646	37.5	447	GCA_035398645.1
Bacteria	Thermotogati	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae		Petrotogaceae bacterium	CTOTU18294	Petrotogaceae bacterium	SET_26	2	2819251	1.31065	1310646	37.5	447	GCA_036733465.1
Archaea	Nanobdellati						Candidatus Pacearchaeota archaeon	AMR_MDS_3539	Candidatus Pacearchaeota archaeon	SET_27	2	2026773	0.474821	474821	30.9	34	GCA_035394515.1
Bacteria							bacterium	CTOTU18504	bacterium	SET_27	2	1869227	0.474821	474821	30.9	34	GCA_036736725.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	EC101	Escherichia coli	SET_28	2	562	5.0542	5054201	50.7	226	GCA_008033585.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	EC101	Escherichia coli	SET_28	2	562	5.0542	5054201	50.7	226	GCA_024198375.1
Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	Lasto28.99	Campylobacter concisus	SET_29	2	199	1.93773	1937734	37.7	30	GCA_002165785.1
Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	MGYG-HGUT-02428	Campylobacter concisus	SET_29	2	199	1.93773	1937734	37.7	30	GCA_902387055.1
Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	uncultured Dorea sp.	UMGS1335	uncultured Dorea sp.	SET_32	2	286138	2.42592	2425923	42.5	48	GCA_900550865.1
Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	uncultured Dorea sp.	MGYG-HGUT-02992	uncultured Dorea sp.	SET_32	2	286138	2.42592	2425923	42.5	48	GCA_902481385.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	2a3A	Bacteroides uniformis	SET_38	2	820	4.15886	4158865	48.4	1493	GCA_002900865.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	2a3A	Bacteroides uniformis	SET_38	2	820	4.15886	4158865	48.4	1493	GCA_002900885.1
Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	uncultured Collinsella sp.	UMGS1501	uncultured Collinsella sp.	SET_39	2	165190	1.76289	1762889	60	23	GCA_900552385.1
Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	uncultured Collinsella sp.	MGYG-HGUT-03039	uncultured Collinsella sp.	SET_39	2	165190	1.76289	1762889	60	23	GCA_902481855.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	PMKI-8-D	Bacillus subtilis	SET_41	2	1423	4.05065	4050649	43.4	120	GCA_014856585.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. seq1	seq1	Bacillus sp. seq1	SET_41	2	2567943	4.05065	4050649	43.4	120	GCA_013141905.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	uncultured Alloprevotella sp.	MGYG-HGUT-03301	uncultured Alloprevotella sp.	SET_42	2	1283315	1.67315	1673150	56.5	701	GCA_902484545.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae		Bacteroidaceae bacterium	HGM04795	Bacteroidaceae bacterium	SET_42	2	2212467	1.67315	1673150	56.5	701	GCA_900763785.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	uncultured Ruminococcus sp.	MGYG-HGUT-03431	uncultured Ruminococcus sp.	SET_43	2	165186	2.51261	2512610	39.7	892	GCA_902485755.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		Oscillospiraceae bacterium	HGM13333	Oscillospiraceae bacterium	SET_43	2	2485925	2.51261	2512610	39.7	892	GCA_900766905.1
Bacteria	Thermotogati	Thermotogota					Thermotogota bacterium	AMR_MDS_3446	Thermotogota bacterium	SET_44	2	2053689	3.16354	3163538	42.5	104	GCA_035396365.1
Bacteria	Thermotogati	Thermotogota					Thermotogota bacterium	CTOTU18411	Thermotogota bacterium	SET_44	2	2053689	3.16354	3163538	42.5	104	GCA_036743375.1
Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enteroscipio	Enteroscipio rubneri	ResAG-96	Enteroscipio rubneri	SET_45	2	2070686	2.82674	2826736	62.4	43	GCA_002899715.1
Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enteroscipio	Enteroscipio rubneri	MGYG-HGUT-02440	Enteroscipio rubneri	SET_45	2	2070686	2.82674	2826736	62.4	43	GCA_902387165.1
Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	A20	Enterococcus faecium	SET_46	2	1352	3.15788	3157885	37.9	9	GCA_003268205.1
Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	MGYG-HGUT-02353	Enterococcus faecium	SET_46	2	1352	3.15788	3157885	37.9	9	GCA_902386195.1
Bacteria	Bacillati	Bacillota					uncultured Bacillota bacterium	MGYG-HGUT-03658	uncultured Firmicutes bacterium	SET_47	2	344338	2.41555	2415548	56.9	57	GCA_902488035.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		uncultured Oscillospiraceae bacterium	HGM13048	uncultured Oscillospiraceae bacterium	SET_47	2	707003	2.41555	2415548	56.9	57	GCA_900771735.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris	KCTC 2579	Proteus vulgaris	SET_48	2	585	3.63916	3639158	37.8	6	GCA_002894405.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris	MGYG-HGUT-02516	Proteus vulgaris	SET_48	2	585	3.63916	3639158	37.8	6	GCA_902387915.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii	IP39768	Yersinia frederiksenii	SET_49	2	29484	5.16488	5164880	47.6	376	GCA_902170545.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii	ena-yuan-GCF_902170545.1	Yersinia frederiksenii	SET_49	2	29484	5.16488	5164880	47.6	376	GCA_963900245.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	BAQ071013-135	Aeromonas veronii	SET_51	2	654	4.62185	4621851	58.9	50	GCA_006226255.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	ena-yuan-GCF_006226255.1	Aeromonas veronii	SET_51	2	654	4.62185	4621851	58.9	50	GCA_963883775.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprocola	DSM 17136	Phocaeicola coprocola DSM 17136	SET_52	2	470145	4.30012	4300117	41.9	90	GCA_000154845.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprocola	MGYG-HGUT-01306	Phocaeicola coprocola	SET_52	2	310298	4.30012	4300117	41.9	90	GCA_902373755.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas geniculata	SPARC6	Stenotrophomonas geniculata	SET_53	2	86188	4.57897	4578968	66.4	18	GCA_030705395.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas geniculata	NIGAB	Stenotrophomonas geniculata	SET_53	2	86188	4.57897	4578968	66.4	18	GCA_031119675.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	BSD2780061689st1_G7	Bacteroides uniformis	SET_54	2	820	5.13991	5139912	46.3	87	GCA_005844235.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	BSD2780061689st1_G7_BSD2780061688b_171218	Bacteroides uniformis	SET_54	2	820	5.13991	5139912	46.3	87	GCA_028396925.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus	DSM 26584	Ureibacillus manganicus DSM 26584	SET_55	2	1384049	4.0472	4047197	34.9	81	GCA_000772945.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus	DSM 26584	Ureibacillus manganicus DSM 26584	SET_55	2	1384049	4.0472	4047197	34.9	81	GCA_002200865.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	cow fecal	Escherichia coli	SET_57	2	562	5.28219	5282192	50.4	122	GCA_001268385.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	cow fecal	Escherichia coli	SET_57	2	562	5.28219	5282192	50.4	122	GCA_001269045.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Tenuifilaceae		Tenuifilaceae bacterium	AMR_MDS_3495	Tenuifilaceae bacterium	SET_58	2	2952975	3.12759	3127587	44.3	74	GCA_035395385.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Tenuifilaceae		Tenuifilaceae bacterium	CTOTU18460	Tenuifilaceae bacterium	SET_58	2	2952975	3.12759	3127587	44.3	74	GCA_036838025.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Kp33	Klebsiella pneumoniae	SET_59	2	573	5.7377	5737703	57.1	10	GCA_008704055.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Kp10	Klebsiella pneumoniae	SET_59	2	573	5.7377	5737703	57.1	10	GCA_008704185.1
Bacteria	Pseudomonadati	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	uncultured Akkermansia sp.	extra-SRR7762566.20_1677802289	uncultured Akkermansia sp.	SET_61	2	512294	1.43813	1438126	57	462	GCA_949487645.1
Bacteria	Pseudomonadati	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	uncultured Akkermansia sp.	extra-SRR7761321.18_1677801456	uncultured Akkermansia sp.	SET_61	2	512294	1.43813	1438126	57	462	GCA_949551625.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	uncultured Prevotella sp.	SRR5240749_bin.19_metaWRAP_v1.3_MAG	uncultured Prevotella sp.	SET_62	2	159272	3.37695	3376951	48.1	171	GCA_945831135.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	uncultured Prevotella sp.	ERR1855545_bin.36_metaWRAP_v1.3_MAG	uncultured Prevotella sp.	SET_62	2	159272	3.37695	3376951	48.1	171	GCA_945864845.1
Bacteria	Bacillati	Bacillota	Clostridia				Clostridia bacterium	HGM13690	Clostridia bacterium	SET_63	2	2044939	1.54161	1541608	28.1	184	GCA_900772235.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales			uncultured Eubacteriales bacterium	MGYG-HGUT-03669	uncultured Eubacteriales bacterium	SET_63	2	172733	1.54161	1541608	28.1	184	GCA_902488215.1
Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis	MIT 98-5491	Helicobacter canadensis MIT 98-5491	SET_64	2	537970	1.62384	1623845	33.7	1	GCA_000162575.1
Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis	MGYG-HGUT-01348	Helicobacter canadensis	SET_64	2	123841	1.62384	1623845	33.7	1	GCA_902381655.1
Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium AG-447-E22	AG-447-E22	Pelagibacteraceae bacterium AG-447-E22	SET_65	2	2162003	0.804683	804683	28.9	34	GCA_003212295.1
Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		uncultured Pelagibacteraceae bacterium	AG-447-E22	uncultured Pelagibacteraceae bacterium	SET_65	2	1667051	0.804683	804683	28.9	34	GCA_902592815.1
Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix sp.	AMR_MDS_3435	Methanothrix sp.	SET_66	2	90426	1.36717	1367166	60	216	GCA_035396585.1
Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix sp.	CTOTU18400	Methanothrix sp.	SET_66	2	90426	1.36717	1367166	60	216	GCA_036733325.1
Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	YGMCC0483	Bifidobacterium longum	SET_67	2	216816	2.65715	2657150	59.6	26	GCA_033658845.1
Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	YGMCC0969	Bifidobacterium longum	SET_67	2	216816	2.65715	2657150	59.6	26	GCA_033659825.1
Bacteria	Bacillati	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. 6_1_27	6_1_27	Veillonella sp. 6_1_27	SET_68	2	450749	2.17442	2174425	38.7	10	GCA_000163735.1
Bacteria	Bacillati	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula	MGYG-HGUT-01349	Veillonella parvula	SET_68	2	29466	2.17442	2174425	38.7	10	GCA_902374055.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. KUL49	KUL49	Alteromonas sp. KUL49	SET_69	2	2480798	4.615	4615000	44.4	46	GCA_004299385.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. KUL49	KUL49	Alteromonas sp. KUL49	SET_69	2	2480798	4.615	4615000	44.4	46	GCA_006538345.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Ruminobacter	uncultured Ruminobacter sp.	HGM20899	uncultured Ruminobacter sp.	SET_72	2	538947	2.37875	2378747	31.5	452	GCA_900767005.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae		uncultured Succinivibrionaceae bacterium	MGYG-HGUT-03436	uncultured Succinivibrionaceae bacterium	SET_72	2	538960	2.37875	2378747	31.5	452	GCA_902485845.1
Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator	PHE3-6	Cupriavidus necator	SET_73	2	106590	7.26781	7267813	66.3	118	GCA_001481455.1
Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator	PHE3-6	Cupriavidus necator	SET_73	2	106590	7.26781	7267813	66.3	118	GCA_001853325.1
Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	AAUH-2012179281	Campylobacter concisus	SET_74	2	199	1.92375	1923750	37.4	39	GCA_002913945.1
Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	MGYG-HGUT-02433	Campylobacter concisus	SET_74	2	199	1.92375	1923750	37.4	39	GCA_902387085.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio paracholerae	CISM_300506	Vibrio paracholerae	SET_77	2	650003	4.02664	4026639	47.3	112	GCA_002097755.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio paracholerae	ena-yuan-GCF_002097755.1	Vibrio paracholerae	SET_77	2	650003	4.02664	4026639	47.3	112	GCA_963873415.1
Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	AMR_MDS_5736	Bifidobacterium adolescentis	SET_78	2	1680	1.68357	1683572	60	115	GCA_035435405.1
Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	CTOTU45673	Bifidobacterium adolescentis	SET_78	2	1680	1.68357	1683572	60	115	GCA_036724485.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Angelakisella	uncultured Angelakisella sp.	extra-SRR7762552.59_1677801605	uncultured Angelakisella sp.	SET_79	2	1935179	2.10358	2103579	63.4	123	GCA_949533595.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Angelakisella	uncultured Angelakisella sp.	extra-SRR7761326.59_1677801499	uncultured Angelakisella sp.	SET_79	2	1935179	2.10358	2103579	63.4	123	GCA_949544635.1
