Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	SubmissionYear	IsolationSource	GeoLocName	CollectionDate	Host	RefSeq_Accession	RefSeq_Present	SetID
GCA_020514355.1	SAMN12639267	Synechococcus sp. HB1133	Macquarie University	Illumina MiSeq	2019-08-27T00:57:05.950	2019	_NA_	Australia: Sydney, Freshwater Beach	14-09-2011	_NA_	GCF_020514355.1	Yes	SET_1016
GCA_013694015.1	SAMN15547716	Escherichia coli K-12	Seoul National University	Illumina MiSeq	2020-07-16T04:46:05.423	2020	Oral Lichen Planus biopsy from patient	South Korea	2016	Homo sapiens	GCF_013694015.1	Yes	SET_1017
GCA_016106135.1	SAMN15396351	Escherichia coli K-12	Seoul National University	Illumina MiSeq	2020-06-29T07:50:05.546	2020	oral lichen planus biopsy	South Korea	2016	Homo sapiens	GCF_016106135.1	Yes	SET_1017
GCA_003858735.1	SAMN10476576	Escherichia coli	Sun Yat-sen University	Illumina HiSeq	2018-11-26T08:43:06.800	2018	Gut	China:Guangdong	2015	Homo sapiens	GCF_003858735.1	Yes	SET_1018
GCA_009822835.1	SAMN11928136	Escherichia coli	Sichuan University	Illumina HiSeq	2019-06-01T07:44:07.197	2019	feces	Missing	Missing	Homo sapiens	GCF_009822835.1	Yes	SET_1018
GCA_034006155.1	SAMN36910927	Candidatus Cloacimonadaceae bacterium	University of Waterloo	Illumina HiSeq	2023-08-09T13:48:07.873	2023	Biofilm fouling a methane capture system in an active sanitary landfill in Southern Ontario	Canada: Ontario	2017-10	_NA_	na	No	SET_1019
GCA_020532545.1	SAMN22164964	Candidatus Cloacimonadota bacterium	University of Waterloo	Illumina HiSeq	2021-10-08T15:31:04.886	2021	biofilm clogging methane capture system of an active municipal landfill in Southern Ontario	Canada: Waterloo, Ontario	2017-10	_NA_	na	No	SET_1019
GCA_002241285.1	SAMN06251409	Vibrio sp. V14_P6S14T42	Instituto de ecologia	Illumina MiSeq	2017-01-23T18:36:04.746	2017	water column	Mexico: Cuatro Cienegas	2013-03	_NA_	GCF_002241285.1	Yes	SET_102
GCA_963875205.1	SAMEA115017463	Vibrio sp. V14_P6S14T42	Nanjing Agriculture University	not collected	2024-03-02T10:03:37.725	2024	_NA_	not collected	not collected	_NA_	GCF_963875205.1	Yes	SET_102
GCA_900545605.1	SAMEA4891439	uncultured Collinsella sp.	EBI	Illumina	2019-02-08T12:13:08.633	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1023
GCA_902481645.1	SAMEA5852516	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:43.040	2019	human gut	USA	_NA_	_NA_	na	No	SET_1023
GCA_002172105.2	SAMN06972030	Candidatus Puniceispirillum sp. TMED176	University of Southern California	Illumina HiSeq	2017-05-12T20:08:12.786	2017	seawater	Mediterranean Sea	2009	not applicable	na	No	SET_1024
GCA_002692045.1	SAMN07620085	SAR116 cluster bacterium	Tara Oceans Consortium	Illumina HiSeq	2017-09-07T19:44:04.950	2017	marine water sample	Mediterranean Sea	2009	not applicable	na	No	SET_1024
GCA_948688705.1	SAMEA112409302	uncultured Eubacteriales bacterium	UNIVERSITY OF CAMBRIDGE	Illumina	2023-02-06T10:12:28.053	2023	feces	USA	not provided	_NA_	na	No	SET_1025
GCA_949003255.1	SAMEA112409734	uncultured Eubacteriales bacterium	UNIVERSITY OF CAMBRIDGE	Illumina	2023-02-06T10:12:49.266	2023	feces	USA	not provided	_NA_	na	No	SET_1025
GCA_015558185.1	SAMN15533111	Lactiplantibacillus plantarum	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2020-07-14T14:32:23.293	2020	stool	USA	13-02-2017	Homo sapiens	GCF_015558185.1	Yes	SET_1026
GCA_028322885.1	SAMN31322646	Lactiplantibacillus plantarum	Icahn School of Medicine	Illumina HiSeq	2022-10-17T16:27:14.182	2022	_NA_	USA	13-02-2017	Homo sapiens	GCF_028322885.1	Yes	SET_1026
GCA_000577335.1	SAMEA3138927	Faecalispora jeddahensis	URMITE	_NA_	2014-11-21T08:59:19.246	2014	_NA_	_NA_	_NA_	_NA_	GCF_000577335.1	Yes	SET_1027
GCA_902375255.1	SAMEA5850970	Faecalispora jeddahensis	EMG	Illumina	2019-08-07T10:17:53.866	2019	human gut	not provided	_NA_	_NA_	GCF_902375255.1	Yes	SET_1027
GCA_035396405.1	SAMN32865176	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.093	2023	Activated sludge of municipal wastewater treatment plants	Hong Kong	26-01-2015	_NA_	na	No	SET_1028
GCA_036839335.1	SAMN28750951	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:35:36.920	2022	sludge	Hong Kong	26-01-2015	_NA_	na	No	SET_1028
GCA_000287075.2	SAMN02470476	Vibrio ordalii FF-167	MIT	Illumina GAII; Illumina GI	2013-12-19T13:24:50.870	2013	filtered seawater (<1um filter)	USA: Massachusetts	2006-09	_NA_	GCF_000287075.2	Yes	SET_103
GCA_963860455.1	SAMEA115014851	Vibrio ordalii FF-167	Nanjing Agriculture University	not collected	2024-03-02T10:02:12.985	2024	_NA_	not collected	not collected	_NA_	GCF_963860455.1	Yes	SET_103
GCA_035520535.1	SAMN32867642	Lachnospiraceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T12:45:09.950	2023	Aquaculture farm sediments	Hong Kong	Missing	_NA_	na	No	SET_1032
GCA_036789925.1	SAMN28749009	Lachnospiraceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T06:45:42.406	2022	sediment; sludge; water	Missing	Missing	_NA_	na	No	SET_1032
GCA_035395345.1	SAMN32865233	Anaerolineae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.687	2023	Activated sludge of municipal wastewater treatment plants	Japan	20-04-2015	_NA_	na	No	SET_1033
GCA_036745695.1	SAMN28747050	Chloroflexota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:11:36.560	2022	sludge	Japan	20-04-2015	_NA_	na	No	SET_1033
GCA_035404905.1	SAMN32865748	Gammaproteobacteria bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:08.613	2023	Activated sludge of municipal wastewater treatment plants	Hong Kong	06-03-2015	_NA_	na	No	SET_1034
GCA_036845705.1	SAMN28751447	Pseudomonadota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T08:18:33.410	2022	sludge	Hong Kong	06-03-2015	_NA_	na	No	SET_1034
GCA_035327205.1	SAMN32809372	Paracoccus sp. (in: a-proteobacteria)	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:07.613	2023	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	_NA_	na	No	SET_1037
GCA_036788715.1	SAMN28748822	Paracoccus sp. (in: a-proteobacteria)	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T06:45:39.483	2022	sludge	Argentina	Missing	_NA_	na	No	SET_1037
GCA_025422015.1	SAMN30840000	Escherichia coli	Provincial Hospital Affiliated to Shandong First Medical University	Illumina	2022-09-13T22:40:06.450	2022	fecal samples	China:Shandong	2021-09	Homo sapiens	GCF_025422015.1	Yes	SET_1038
GCA_028464505.1	SAMN30948385	Escherichia coli	Provincial Hospital Affiliated to Shandong First Medical University	Illumina	2022-09-21T07:08:07.350	2022	Missing	China:Shandong	2021-09	Homo sapiens	GCF_028464505.1	Yes	SET_1038
GCA_002241075.1	SAMN06251400	Vibrio sp. V04_P4A5T148	Instituto de ecologia	Illumina MiSeq	2017-01-23T18:36:03.980	2017	water column	Mexico: Cuatro Cienegas	2013-03	_NA_	GCF_002241075.1	Yes	SET_1039
GCA_963875605.1	SAMEA115017456	Vibrio sp. V04_P4A5T148	Nanjing Agriculture University	not collected	2024-03-02T10:03:37.570	2024	_NA_	not collected	not collected	_NA_	GCF_963875605.1	Yes	SET_1039
GCA_036748695.1	SAMN28747038	Bacteroidaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:11:36.420	2022	water	Germany	21-06-2012	_NA_	na	No	SET_104
GCA_035435105.1	SAMN32867972	Prevotella sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T13:07:07.240	2023	Medicalfacilities Wastewater	Germany	21-06-2012	_NA_	na	No	SET_104
GCA_902170245.1	SAMEA5778895	Yersinia vastinensis	INSTITUT PASTEUR	Illumina NextSeq 500	2019-07-19T08:15:33.866	2019	_NA_	_NA_	_NA_	_NA_	GCF_902170245.1	Yes	SET_1045
GCA_963900675.1	SAMEA115018961	Yersinia vastinensis	Nanjing Agriculture University	not collected	2024-03-02T10:04:34.887	2024	_NA_	not collected	not collected	_NA_	GCF_963900675.1	Yes	SET_1045
GCA_900541935.1	SAMEA4891079	uncultured Prevotellaceae bacterium	EBI	Illumina	2019-02-08T12:13:05.850	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1046
GCA_902480555.1	SAMEA5852410	uncultured Muribaculaceae bacterium	EMG	Illumina	2019-08-07T10:18:39.570	2019	human gut	China	_NA_	_NA_	na	No	SET_1046
GCA_900556405.1	SAMEA4892529	uncultured Actinomyces sp.	EBI	Illumina	2019-01-28T10:16:15.316	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1047
GCA_902481365.1	SAMEA5852493	uncultured Actinomyces sp.	EMG	Illumina	2019-08-07T10:18:42.260	2019	human gut	USA	_NA_	_NA_	na	No	SET_1047
GCA_945830445.1	SAMEA110360322	uncultured Clostridia bacterium	EMG	NextSeq 500	2022-07-15T08:11:15.026	2022	pig gut metagenome	Germany	01-08-2016	_NA_	na	No	SET_1048
GCA_945863795.1	SAMEA110402184	uncultured Clostridia bacterium	EMG	NextSeq 500	2022-07-22T13:12:53.296	2022	pig gut metagenome	Germany	01-08-2016	_NA_	na	No	SET_1048
GCA_948892665.1	SAMEA112409498	uncultured Muribaculaceae bacterium	UNIVERSITY OF CAMBRIDGE	Illumina	2023-02-06T10:12:38.623	2023	feces	USA	not provided	_NA_	na	No	SET_1049
GCA_948917635.1	SAMEA112409697	uncultured Muribaculaceae bacterium	UNIVERSITY OF CAMBRIDGE	Illumina	2023-02-06T10:12:48.583	2023	feces	USA	not provided	_NA_	na	No	SET_1049
GCA_009915525.1	SAMN13870617	Proteus sp. G4400	nankai university	Illumina GAIIx	2020-01-15T21:55:03.820	2020	Missing	Missing	Missing	_NA_	GCF_009915525.1	Yes	SET_105
GCA_963886225.1	SAMEA115018136	Proteus sp. G4400	Nanjing Agriculture University	not collected	2024-03-02T10:04:05.746	2024	_NA_	not collected	not collected	_NA_	GCF_963886225.1	Yes	SET_105
GCA_006366745.1	SAMN08471691	Acinetobacter baumannii	The First Affiliated Hospital, College of Medicine Zhejiang University	Illumina HiSeq	2018-02-06T12:29:06.877	2018	blood	China:Hangzhou	11-10-2014	Homo sapiens	GCF_006366745.1	Yes	SET_1052
GCA_026805065.1	SAMN31902082	Acinetobacter baumannii	The First Affiliated Hospital, Zhejiang University School of Medicine	Illumina HiSeq	2022-11-28T21:00:06.990	2022	Missing	China:Hangzhou	29-11-2022	Homo sapiens	GCF_026805065.1	Yes	SET_1052
GCA_018679915.1	SAMN19246888	Eudoraea sp.	Monash University	Illumina NextSeq	2021-05-18T23:01:07.826	2021	beach sand	Australia: St. Kilda Pier, Port Phillip Bay site C deep	14-06-2018	_NA_	na	No	SET_1053
GCA_013041715.1	SAMN14538104	Flavobacteriaceae bacterium	Monash University	Illumina NextSeq	2020-04-04T00:53:07.213	2020	Beach sand	Australia: Middle Park Beach, Port Phillip Bay site C	2018	_NA_	na	No	SET_1053
GCA_004570595.1	SAMN11126836	Proteus mirabilis	King's College London	Illumina HiSeq	2019-03-14T11:44:04.820	2019	oral swab	United Kingdom	2018	Mus musculus C57BL/6J	GCF_004570595.1	Yes	SET_1054
GCA_015235315.1	SAMN16540192	Proteus mirabilis	King's College London	Illumina HiSeq	2020-10-25T11:51:04.656	2020	Oral	United Kingdom	2018	Mus musculus	GCF_015235315.1	Yes	SET_1054
GCA_003050025.1	SAMN08099548	Vibrio splendidus	Station Biologique Roscoff (CNRS/UMPC)	Illumina HiSeq	2017-11-26T18:59:04.613	2017	Filtered seawater (1uM filter)	USA: Plum Island, MA	28-04-2006	_NA_	GCF_003050025.1	Yes	SET_1059
GCA_963879035.1	SAMEA115017660	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:03:46.620	2024	_NA_	not collected	not collected	_NA_	GCF_963879035.1	Yes	SET_1059
GCA_001091065.1	SAMEA859938	Yersinia kristensenii	SC	SLX	2011-02-14T19:07:06.483	2011	water	Brazil	12-01-1984	environmental	GCF_001091065.1	Yes	SET_106
GCA_963865855.1	SAMEA115017186	Yersinia kristensenii	Nanjing Agriculture University	not collected	2024-03-02T10:03:28.871	2024	_NA_	not collected	not collected	_NA_	GCF_963865855.1	Yes	SET_106
GCA_004569315.1	SAMN11126861	Citrobacter koseri	King's College London	Illumina HiSeq	2019-03-14T11:44:05.310	2019	oral swab	United Kingdom	2017	Mus musculus C57BL/6J	GCF_004569315.1	Yes	SET_1060
GCA_015234875.1	SAMN16540216	Citrobacter koseri	King's College London	Illumina HiSeq	2020-10-25T11:51:05.113	2020	Oral	United Kingdom	2017	Mus musculus	GCF_015234875.1	Yes	SET_1060
GCA_019375115.1	SAMN17183807	Escherichia sp. XD11	Huazhong Agricultural University	Illumina NovaSeq	2020-12-30T08:19:21.650	2020	_NA_	China: Henan	not applicable	swine	GCF_019375115.1	Yes	SET_1062
GCA_009600785.1	SAMN11246193	Escherichia coli	Huazhong Agricultural University	Illumina HiSeq	2019-03-24T23:18:06.450	2019	_NA_	China: Henan	2018-11	_NA_	GCF_009600785.1	Yes	SET_1062
GCA_949519355.1	SAMEA112730891	Muribaculaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:26.186	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_1063
GCA_949529795.1	SAMEA112731025	Muribaculaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:30.776	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_1063
GCA_900548725.1	SAMEA4891765	uncultured Mycoplasmatota bacterium	EBI	Illumina	2019-01-28T10:09:46.950	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1064
GCA_902479505.1	SAMEA5852304	uncultured Bacillota bacterium	EMG	Illumina	2019-08-07T10:18:36.400	2019	human gut	Peru	_NA_	_NA_	na	No	SET_1064
GCA_002732745.1	SAMN07568958	Idiomarina sp.	University of Southern California	Illumina HiSeq	2017-08-28T16:54:06.667	2017	marine subsurface aquifer	Atlantic Ocean: North Pond	2014	not applicable	na	No	SET_1066
GCA_016764375.1	SAMN17309526	Idiomarina sp.	University of Southern California	Illumina HiSeq	2021-01-13T15:04:07.543	2021	formation fluids from subseafloor aquifer collected in 2012 through 2014	Atlantic Ocean: North Pond	Missing	_NA_	na	No	SET_1066
GCA_033657925.1	SAMN37555364	Bifidobacterium longum	Beijing YuGen Pharmaceutical Co., Ltd	Illumina HiSeq	2023-09-27T05:00:08.803	2023	_NA_	China	29-09-2022	Homo sapiens	GCF_033657925.1	Yes	SET_1068
GCA_033659425.1	SAMN37555579	Bifidobacterium longum	Beijing YuGen Pharmaceutical Co., Ltd	Illumina HiSeq	2023-09-27T05:59:04.908	2023	_NA_	China	29-09-2022	Homo sapiens	GCF_033659425.1	Yes	SET_1068
GCA_902481445.1	SAMEA5852500	uncultured Lachnoclostridium sp.	EMG	Illumina	2019-08-07T10:18:42.510	2019	human gut	USA	_NA_	_NA_	na	No	SET_1069
GCA_900555045.1	SAMEA4892392	uncultured Clostridium sp.	EBI	Illumina	2019-02-08T12:13:15.556	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1069
GCA_037168345.1	SAMN39783936	Vibrio parahaemolyticus	Huzhou CDC	Illumina NovaSeq	2024-02-03T19:46:05.140	2024	feces	China	28-09-2023	Homo sapiens	GCF_037168345.1	Yes	SET_107
GCA_037168765.1	SAMN39783958	Vibrio parahaemolyticus	Huzhou CDC	Illumina NovaSeq	2024-02-03T19:46:05.363	2024	feces	China	17-09-2023	Homo sapiens	GCF_037168765.1	Yes	SET_107
GCA_009746155.1	SAMN13337945	Klebsiella pneumoniae	CHU A Coruna	Illumina MiSeq	2019-11-20T12:35:08.280	2019	urine	Spain	2013-11/2014-04	Homo sapiens	GCF_009746155.1	Yes	SET_1071
GCA_013187345.1	SAMN14896284	Klebsiella pneumoniae	Hospital Universitario Virgen Macarena	Illumina MiSeq	2020-05-12T07:42:08.916	2020	urine	Spain: Granada	20-11-2015	Homo sapiens	GCF_013187345.1	Yes	SET_1071
GCA_035404465.1	SAMN32865771	Anaerolineaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:08.820	2023	Activated sludge of municipal wastewater treatment plants	Hong Kong	06-03-2015	_NA_	na	No	SET_1072
GCA_036825115.1	SAMN28750562	Anaerolineaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:34.066	2022	sludge	Hong Kong	06-03-2015	_NA_	na	No	SET_1072
GCA_035400185.1	SAMN32865585	Chitinophagales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:07.090	2023	Activated sludge of municipal wastewater treatment plants	USA	07-01-2015	_NA_	na	No	SET_1073
GCA_036733245.1	SAMN28746373	Chitinophagales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:55:38.730	2022	sludge	USA	07-01-2015	_NA_	na	No	SET_1073
GCA_902374955.1	SAMEA5850931	Bacillus massilioanorexius	EMG	Illumina	2019-08-07T10:17:52.790	2019	human gut	not provided	_NA_	_NA_	GCF_902374955.1	Yes	SET_1074
GCA_000321185.1	SAMEA2272318	Bacillus sp. AP8	ebi	_NA_	2013-12-20T12:43:19.746	2013	_NA_	_NA_	_NA_	_NA_	GCF_000321185.1	Yes	SET_1074
GCA_002915215.1	SAMN08386658	Mycobacterium tuberculosis	Alianza científico - tecnológica Nucleosensor-TB	Illumina HiSeq	2018-01-23T14:57:05.377	2018	Missing	Colombia	1998	Homo sapiens	GCF_002915215.1	Yes	SET_1075
GCA_003383475.1	SAMN08437989	Mycobacterium tuberculosis	Alianza científico - tecnológica Nucleosensor-TB	Illumina HiSeq	2018-01-30T13:31:05.103	2018	Missing	Colombia	1998	Homo sapiens	GCF_003383475.1	Yes	SET_1075
GCA_902488245.1	SAMEA5853183	uncultured Christensenellaceae bacterium	EMG	Illumina	2019-08-07T10:19:04.540	2019	human gut	Tanzania	_NA_	_NA_	na	No	SET_1076
GCA_900772745.1	SAMEA5280080	Clostridia bacterium	DOE JGI	Illumina Genome Analyzer IIx	2019-02-01T10:29:12.683	2019	human stool	Tanzania	01-01-2018	_NA_	GCF_900772745.1	Yes	SET_1076
GCA_902170525.1	SAMEA5778884	Yersinia frederiksenii	INSTITUT PASTEUR	Illumina NextSeq 500	2019-07-19T08:15:33.600	2019	_NA_	_NA_	_NA_	_NA_	GCF_902170525.1	Yes	SET_1077
GCA_963901315.1	SAMEA115018971	Yersinia frederiksenii	Nanjing Agriculture University	not collected	2024-03-02T10:04:35.103	2024	_NA_	not collected	not collected	_NA_	GCF_963901315.1	Yes	SET_1077
GCA_022015915.1	SAMN25524806	Pseudomonas aeruginosa	Faculty of Medicine, University of Thessaly	Illumina MiSeq	2022-01-31T17:33:15.906	2022	biological sample	Greece	2018	Homo sapiens	GCF_022015915.1	Yes	SET_1079
GCA_037104525.1	SAMN40282111	Pseudomonas aeruginosa	University Hospital of Larissa	IonTorrent	2024-03-06T11:54:04.692	2024	Pus	Greece	19-01-2023	Homo sapiens	GCF_037104525.1	Yes	SET_1079
GCA_949496555.1	SAMEA112731263	Muribaculaceae bacterium Isolate-043 (Harlan)	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:39.153	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_1080
GCA_949544215.1	SAMEA112730879	Muribaculaceae bacterium Isolate-043 (Harlan)	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:25.790	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_1080
GCA_000331515.1	SAMN02469996	Photobacterium marinum	Institute of Microbial Technology	Illumina HiSeq	2013-12-19T13:09:50.193	2013	sediment	India:Palk Bay	_NA_	_NA_	GCF_000331515.1	Yes	SET_1081
GCA_963861245.1	SAMEA115014853	Photobacterium marinum	Nanjing Agriculture University	not collected	2024-03-02T10:02:13.054	2024	_NA_	not collected	not collected	_NA_	GCF_963861245.1	Yes	SET_1081
GCA_900542045.1	SAMEA4891090	uncultured Blautia sp.	EBI	Illumina	2019-02-08T12:13:05.913	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1082
GCA_902479985.1	SAMEA5852342	uncultured Lachnospiraceae bacterium	EMG	Illumina	2019-08-07T10:18:37.556	2019	human gut	USA	_NA_	_NA_	na	No	SET_1082
GCA_900540195.1	SAMEA4890902	uncultured Bacteroides sp.	EBI	Illumina	2019-02-08T12:13:04.850	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_1083
GCA_902482405.1	SAMEA5852602	uncultured Bacteroides sp.	EMG	Illumina	2019-08-07T10:18:45.726	2019	human gut	Spain	_NA_	_NA_	na	No	SET_1083
GCA_012912105.1	SAMN09468271	Brasilonema sp. UFV-L1	Sao Paulo State University (UNESP)	Illumina HiSeq	2018-06-21T16:38:18.487	2018	leaves	Brazil: Paraiba do Sul, Minas Gerais	2006	ligustrum	GCF_012912105.1	Yes	SET_1084
