SetID	Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	SubmissionYear	IsolationSource	GeoLocName	CollectionDate	Host	RefSeq_Accession	RefSeq_Present
SET_1026	Different: GCA_015558185.1 | GCA_028322885.1	Different: SAMN15533111 | SAMN31322646	Same: Lactiplantibacillus plantarum	Different: Icahn School of Medicine at Mount Sinai | Icahn School of Medicine	Same: Illumina HiSeq	Different: 2020-07-14T14:32:23.293 | 2022-10-17T16:27:14.182	Different: 2020 | 2022	Different: stool | _NA_	Same: USA	Same: 13-02-2017	Same: Homo sapiens	Different: GCF_015558185.1 | GCF_028322885.1	Same: Yes
SET_1027	Different: GCA_000577335.1 | GCA_902375255.1	Different: SAMEA3138927 | SAMEA5850970	Same: Faecalispora jeddahensis	Different: URMITE | EMG	Different: _NA_ | Illumina	Different: 2014-11-21T08:59:19.246 | 2019-08-07T10:17:53.866	Different: 2014 | 2019	Different: _NA_ | human gut	Different: _NA_ | not provided	Same: _NA_	Same: _NA_	Different: GCF_000577335.1 | GCF_902375255.1	Same: Yes
SET_1028	Different: GCA_035396405.1 | GCA_036839335.1	Different: SAMN32865176 | SAMN28750951	Same: Bacteroidales bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:08.093 | 2022-05-30T07:35:36.920	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 26-01-2015	Same: _NA_	Same: na	Same: No
SET_103	Different: GCA_000287075.2 | GCA_963860455.1	Different: SAMN02470476 | SAMEA115014851	Same: Vibrio ordalii FF-167	Different: MIT | Nanjing Agriculture University	Different: Illumina GAII; Illumina GI | not collected	Different: 2013-12-19T13:24:50.870 | 2024-03-02T10:02:12.985	Different: 2013 | 2024	Different: filtered seawater (<1um filter) | _NA_	Different: USA: Massachusetts | not collected	Different: 2006-09 | not collected	Same: _NA_	Different: GCF_000287075.2 | GCF_963860455.1	Same: Yes
SET_1032	Different: GCA_035520535.1 | GCA_036789925.1	Different: SAMN32867642 | SAMN28749009	Same: Lachnospiraceae bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T12:45:09.950 | 2022-05-30T06:45:42.406	Different: 2023 | 2022	Different: Aquaculture farm sediments | sediment; sludge; water	Different: Hong Kong | Missing	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1033	Different: GCA_035395345.1 | GCA_036745695.1	Different: SAMN32865233 | SAMN28747050	Different: Anaerolineae bacterium | Chloroflexota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:08.687 | 2022-05-30T05:11:36.560	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Japan	Same: 20-04-2015	Same: _NA_	Same: na	Same: No
SET_1034	Different: GCA_035404905.1 | GCA_036845705.1	Different: SAMN32865748 | SAMN28751447	Different: Gammaproteobacteria bacterium | Pseudomonadota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:08.613 | 2022-05-30T08:18:33.410	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 06-03-2015	Same: _NA_	Same: na	Same: No
SET_1037	Different: GCA_035327205.1 | GCA_036788715.1	Different: SAMN32809372 | SAMN28748822	Same: Paracoccus sp. (in: a-proteobacteria)	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:11:07.613 | 2022-05-30T06:45:39.483	Different: 2023 | 2022	Different: full-scale industrial wastewater treatment plants sludge | sludge	Same: Argentina	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1038	Different: GCA_025422015.1 | GCA_028464505.1	Different: SAMN30840000 | SAMN30948385	Same: Escherichia coli	Same: Provincial Hospital Affiliated to Shandong First Medical University	Same: Illumina	Different: 2022-09-13T22:40:06.450 | 2022-09-21T07:08:07.350	Same: 2022	Different: fecal samples | Missing	Same: China:Shandong	Same: 2021-09	Same: Homo sapiens	Different: GCF_025422015.1 | GCF_028464505.1	Same: Yes
SET_1039	Different: GCA_002241075.1 | GCA_963875605.1	Different: SAMN06251400 | SAMEA115017456	Same: Vibrio sp. V04_P4A5T148	Different: Instituto de ecologia | Nanjing Agriculture University	Different: Illumina MiSeq | not collected	Different: 2017-01-23T18:36:03.980 | 2024-03-02T10:03:37.570	Different: 2017 | 2024	Different: water column | _NA_	Different: Mexico: Cuatro Cienegas | not collected	Different: 2013-03 | not collected	Same: _NA_	Different: GCF_002241075.1 | GCF_963875605.1	Same: Yes
SET_104	Different: GCA_036748695.1 | GCA_035435105.1	Different: SAMN28747038 | SAMN32867972	Different: Bacteroidaceae bacterium | Prevotella sp.	Different: Helmholtz Centre for Environmental Research - UFZ | CLUE-TERRA	Different: Illumina | Illumina MiSeq	Different: 2022-05-30T05:11:36.420 | 2023-01-22T13:07:07.240	Different: 2022 | 2023	Different: water | Medicalfacilities Wastewater	Same: Germany	Same: 21-06-2012	Same: _NA_	Same: na	Same: No
SET_1045	Different: GCA_902170245.1 | GCA_963900675.1	Different: SAMEA5778895 | SAMEA115018961	Same: Yersinia vastinensis	Different: INSTITUT PASTEUR | Nanjing Agriculture University	Different: Illumina NextSeq 500 | not collected	Different: 2019-07-19T08:15:33.866 | 2024-03-02T10:04:34.887	Different: 2019 | 2024	Same: _NA_	Different: _NA_ | not collected	Different: _NA_ | not collected	Same: _NA_	Different: GCF_902170245.1 | GCF_963900675.1	Same: Yes
SET_1046	Different: GCA_900541935.1 | GCA_902480555.1	Different: SAMEA4891079 | SAMEA5852410	Different: uncultured Prevotellaceae bacterium | uncultured Muribaculaceae bacterium	Different: EBI | EMG	Same: Illumina	Different: 2019-02-08T12:13:05.850 | 2019-08-07T10:18:39.570	Same: 2019	Same: human gut	Different: _NA_ | China	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1047	Different: GCA_900556405.1 | GCA_902481365.1	Different: SAMEA4892529 | SAMEA5852493	Same: uncultured Actinomyces sp.	Different: EBI | EMG	Same: Illumina	Different: 2019-01-28T10:16:15.316 | 2019-08-07T10:18:42.260	Same: 2019	Same: human gut	Different: _NA_ | USA	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1048	Different: GCA_945830445.1 | GCA_945863795.1	Different: SAMEA110360322 | SAMEA110402184	Same: uncultured Clostridia bacterium	Same: EMG	Same: NextSeq 500	Different: 2022-07-15T08:11:15.026 | 2022-07-22T13:12:53.296	Same: 2022	Same: pig gut metagenome	Same: Germany	Same: 01-08-2016	Same: _NA_	Same: na	Same: No
SET_1049	Different: GCA_948892665.1 | GCA_948917635.1	Different: SAMEA112409498 | SAMEA112409697	Same: uncultured Muribaculaceae bacterium	Same: UNIVERSITY OF CAMBRIDGE	Same: Illumina	Different: 2023-02-06T10:12:38.623 | 2023-02-06T10:12:48.583	Same: 2023	Same: feces	Same: USA	Same: not provided	Same: _NA_	Same: na	Same: No
SET_105	Different: GCA_009915525.1 | GCA_963886225.1	Different: SAMN13870617 | SAMEA115018136	Same: Proteus sp. G4400	Different: nankai university | Nanjing Agriculture University	Different: Illumina GAIIx | not collected	Different: 2020-01-15T21:55:03.820 | 2024-03-02T10:04:05.746	Different: 2020 | 2024	Different: Missing | _NA_	Different: Missing | not collected	Different: Missing | not collected	Same: _NA_	Different: GCF_009915525.1 | GCF_963886225.1	Same: Yes
SET_1052	Different: GCA_006366745.1 | GCA_026805065.1	Different: SAMN08471691 | SAMN31902082	Same: Acinetobacter baumannii	Different: The First Affiliated Hospital, College of Medicine Zhejiang University | The First Affiliated Hospital, Zhejiang University School of Medicine	Same: Illumina HiSeq	Different: 2018-02-06T12:29:06.877 | 2022-11-28T21:00:06.990	Different: 2018 | 2022	Different: blood | Missing	Same: China:Hangzhou	Different: 11-10-2014 | 29-11-2022	Same: Homo sapiens	Different: GCF_006366745.1 | GCF_026805065.1	Same: Yes
SET_1053	Different: GCA_018679915.1 | GCA_013041715.1	Different: SAMN19246888 | SAMN14538104	Different: Eudoraea sp. | Flavobacteriaceae bacterium	Same: Monash University	Same: Illumina NextSeq	Different: 2021-05-18T23:01:07.826 | 2020-04-04T00:53:07.213	Different: 2021 | 2020	Different: beach sand | Beach sand	Different: Australia: St. Kilda Pier, Port Phillip Bay site C deep | Australia: Middle Park Beach, Port Phillip Bay site C	Different: 14-06-2018 | 2018	Same: _NA_	Same: na	Same: No
SET_1054	Different: GCA_004570595.1 | GCA_015235315.1	Different: SAMN11126836 | SAMN16540192	Same: Proteus mirabilis	Same: King's College London	Same: Illumina HiSeq	Different: 2019-03-14T11:44:04.820 | 2020-10-25T11:51:04.656	Different: 2019 | 2020	Different: oral swab | Oral	Same: United Kingdom	Same: 2018	Different: Mus musculus C57BL/6J | Mus musculus	Different: GCF_004570595.1 | GCF_015235315.1	Same: Yes
SET_1059	Different: GCA_003050025.1 | GCA_963879035.1	Different: SAMN08099548 | SAMEA115017660	Same: Vibrio splendidus	Different: Station Biologique Roscoff (CNRS/UMPC) | Nanjing Agriculture University	Different: Illumina HiSeq | not collected	Different: 2017-11-26T18:59:04.613 | 2024-03-02T10:03:46.620	Different: 2017 | 2024	Different: Filtered seawater (1uM filter) | _NA_	Different: USA: Plum Island, MA | not collected	Different: 28-04-2006 | not collected	Same: _NA_	Different: GCF_003050025.1 | GCF_963879035.1	Same: Yes
SET_106	Different: GCA_001091065.1 | GCA_963865855.1	Different: SAMEA859938 | SAMEA115017186	Same: Yersinia kristensenii	Different: SC | Nanjing Agriculture University	Different: SLX | not collected	Different: 2011-02-14T19:07:06.483 | 2024-03-02T10:03:28.871	Different: 2011 | 2024	Different: water | _NA_	Different: Brazil | not collected	Different: 12-01-1984 | not collected	Different: environmental | _NA_	Different: GCF_001091065.1 | GCF_963865855.1	Same: Yes
SET_1060	Different: GCA_004569315.1 | GCA_015234875.1	Different: SAMN11126861 | SAMN16540216	Same: Citrobacter koseri	Same: King's College London	Same: Illumina HiSeq	Different: 2019-03-14T11:44:05.310 | 2020-10-25T11:51:05.113	Different: 2019 | 2020	Different: oral swab | Oral	Same: United Kingdom	Same: 2017	Different: Mus musculus C57BL/6J | Mus musculus	Different: GCF_004569315.1 | GCF_015234875.1	Same: Yes
SET_1062	Different: GCA_019375115.1 | GCA_009600785.1	Different: SAMN17183807 | SAMN11246193	Different: Escherichia sp. XD11 | Escherichia coli	Same: Huazhong Agricultural University	Different: Illumina NovaSeq | Illumina HiSeq	Different: 2020-12-30T08:19:21.650 | 2019-03-24T23:18:06.450	Different: 2020 | 2019	Same: _NA_	Same: China: Henan	Different: not applicable | 2018-11	Different: swine | _NA_	Different: GCF_019375115.1 | GCF_009600785.1	Same: Yes
SET_1063	Different: GCA_949519355.1 | GCA_949529795.1	Different: SAMEA112730891 | SAMEA112731025	Same: Muribaculaceae bacterium	Same: HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Different: Illumina HiSeq 2000 | NextSeq 500	Different: 2023-03-08T08:34:26.186 | 2023-03-08T08:34:30.776	Same: 2023	Same: mouse gut metagenome	Same: USA	Same: 15-01-2018	Same: _NA_	Same: na	Same: No
SET_1064	Different: GCA_900548725.1 | GCA_902479505.1	Different: SAMEA4891765 | SAMEA5852304	Different: uncultured Mycoplasmatota bacterium | uncultured Bacillota bacterium	Different: EBI | EMG	Same: Illumina	Different: 2019-01-28T10:09:46.950 | 2019-08-07T10:18:36.400	Same: 2019	Same: human gut	Different: _NA_ | Peru	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1066	Different: GCA_002732745.1 | GCA_016764375.1	Different: SAMN07568958 | SAMN17309526	Same: Idiomarina sp.	Same: University of Southern California	Same: Illumina HiSeq	Different: 2017-08-28T16:54:06.667 | 2021-01-13T15:04:07.543	Different: 2017 | 2021	Different: marine subsurface aquifer | formation fluids from subseafloor aquifer collected in 2012 through 2014	Same: Atlantic Ocean: North Pond	Different: 2014 | Missing	Different: not applicable | _NA_	Same: na	Same: No
SET_1068	Different: GCA_033657925.1 | GCA_033659425.1	Different: SAMN37555364 | SAMN37555579	Same: Bifidobacterium longum	Same: Beijing YuGen Pharmaceutical Co., Ltd	Same: Illumina HiSeq	Different: 2023-09-27T05:00:08.803 | 2023-09-27T05:59:04.908	Same: 2023	Same: _NA_	Same: China	Same: 29-09-2022	Same: Homo sapiens	Different: GCF_033657925.1 | GCF_033659425.1	Same: Yes
SET_1069	Different: GCA_902481445.1 | GCA_900555045.1	Different: SAMEA5852500 | SAMEA4892392	Different: uncultured Lachnoclostridium sp. | uncultured Clostridium sp.	Different: EMG | EBI	Same: Illumina	Different: 2019-08-07T10:18:42.510 | 2019-02-08T12:13:15.556	Same: 2019	Same: human gut	Different: USA | _NA_	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_107	Different: GCA_037168345.1 | GCA_037168765.1	Different: SAMN39783936 | SAMN39783958	Same: Vibrio parahaemolyticus	Same: Huzhou CDC	Same: Illumina NovaSeq	Different: 2024-02-03T19:46:05.140 | 2024-02-03T19:46:05.363	Same: 2024	Same: feces	Same: China	Different: 28-09-2023 | 17-09-2023	Same: Homo sapiens	Different: GCF_037168345.1 | GCF_037168765.1	Same: Yes
SET_1071	Different: GCA_009746155.1 | GCA_013187345.1	Different: SAMN13337945 | SAMN14896284	Same: Klebsiella pneumoniae	Different: CHU A Coruna | Hospital Universitario Virgen Macarena	Same: Illumina MiSeq	Different: 2019-11-20T12:35:08.280 | 2020-05-12T07:42:08.916	Different: 2019 | 2020	Same: urine	Different: Spain | Spain: Granada	Different: 2013-11/2014-04 | 20-11-2015	Same: Homo sapiens	Different: GCF_009746155.1 | GCF_013187345.1	Same: Yes
SET_1072	Different: GCA_035404465.1 | GCA_036825115.1	Different: SAMN32865771 | SAMN28750562	Same: Anaerolineaceae bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:08.820 | 2022-05-30T07:28:34.066	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 06-03-2015	Same: _NA_	Same: na	Same: No
SET_1073	Different: GCA_035400185.1 | GCA_036733245.1	Different: SAMN32865585 | SAMN28746373	Same: Chitinophagales bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:07.090 | 2022-05-30T03:55:38.730	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 07-01-2015	Same: _NA_	Same: na	Same: No
SET_1074	Different: GCA_902374955.1 | GCA_000321185.1	Different: SAMEA5850931 | SAMEA2272318	Different: Bacillus massilioanorexius | Bacillus sp. AP8	Different: EMG | ebi	Different: Illumina | _NA_	Different: 2019-08-07T10:17:52.790 | 2013-12-20T12:43:19.746	Different: 2019 | 2013	Different: human gut | _NA_	Different: not provided | _NA_	Same: _NA_	Same: _NA_	Different: GCF_902374955.1 | GCF_000321185.1	Same: Yes
SET_1075	Different: GCA_002915215.1 | GCA_003383475.1	Different: SAMN08386658 | SAMN08437989	Same: Mycobacterium tuberculosis	Same: Alianza científico - tecnológica Nucleosensor-TB	Same: Illumina HiSeq	Different: 2018-01-23T14:57:05.377 | 2018-01-30T13:31:05.103	Same: 2018	Same: Missing	Same: Colombia	Same: 1998	Same: Homo sapiens	Different: GCF_002915215.1 | GCF_003383475.1	Same: Yes
SET_1076	Different: GCA_902488245.1 | GCA_900772745.1	Different: SAMEA5853183 | SAMEA5280080	Different: uncultured Christensenellaceae bacterium | Clostridia bacterium	Different: EMG | DOE JGI	Different: Illumina | Illumina Genome Analyzer IIx	Different: 2019-08-07T10:19:04.540 | 2019-02-01T10:29:12.683	Same: 2019	Different: human gut | human stool	Same: Tanzania	Different: _NA_ | 01-01-2018	Same: _NA_	Different: na | GCF_900772745.1	Different: No | Yes
SET_1077	Different: GCA_902170525.1 | GCA_963901315.1	Different: SAMEA5778884 | SAMEA115018971	Same: Yersinia frederiksenii	Different: INSTITUT PASTEUR | Nanjing Agriculture University	Different: Illumina NextSeq 500 | not collected	Different: 2019-07-19T08:15:33.600 | 2024-03-02T10:04:35.103	Different: 2019 | 2024	Same: _NA_	Different: _NA_ | not collected	Different: _NA_ | not collected	Same: _NA_	Different: GCF_902170525.1 | GCF_963901315.1	Same: Yes
SET_1079	Different: GCA_022015915.1 | GCA_037104525.1	Different: SAMN25524806 | SAMN40282111	Same: Pseudomonas aeruginosa	Different: Faculty of Medicine, University of Thessaly | University Hospital of Larissa	Different: Illumina MiSeq | IonTorrent	Different: 2022-01-31T17:33:15.906 | 2024-03-06T11:54:04.692	Different: 2022 | 2024	Different: biological sample | Pus	Same: Greece	Different: 2018 | 19-01-2023	Same: Homo sapiens	Different: GCF_022015915.1 | GCF_037104525.1	Same: Yes
SET_1080	Different: GCA_949496555.1 | GCA_949544215.1	Different: SAMEA112731263 | SAMEA112730879	Same: Muribaculaceae bacterium Isolate-043 (Harlan)	Same: HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Different: NextSeq 500 | Illumina HiSeq 2000	Different: 2023-03-08T08:34:39.153 | 2023-03-08T08:34:25.790	Same: 2023	Same: mouse gut metagenome	Same: USA	Same: 15-01-2018	Same: _NA_	Same: na	Same: No
SET_1081	Different: GCA_000331515.1 | GCA_963861245.1	Different: SAMN02469996 | SAMEA115014853	Same: Photobacterium marinum	Different: Institute of Microbial Technology | Nanjing Agriculture University	Different: Illumina HiSeq | not collected	Different: 2013-12-19T13:09:50.193 | 2024-03-02T10:02:13.054	Different: 2013 | 2024	Different: sediment | _NA_	Different: India:Palk Bay | not collected	Different: _NA_ | not collected	Same: _NA_	Different: GCF_000331515.1 | GCF_963861245.1	Same: Yes
SET_1082	Different: GCA_900542045.1 | GCA_902479985.1	Different: SAMEA4891090 | SAMEA5852342	Different: uncultured Blautia sp. | uncultured Lachnospiraceae bacterium	Different: EBI | EMG	Same: Illumina	Different: 2019-02-08T12:13:05.913 | 2019-08-07T10:18:37.556	Same: 2019	Same: human gut	Different: _NA_ | USA	Same: _NA_	Same: _NA_	Same: na	Same: No
