Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	IsolationSource	GeoLocName	CollectionDate	Host
GCA_036838005.1	SAMN28751219	Opitutaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:35:40.070	sludge	USA	2015-03-09	
GCA_036409485.1	SAMN33293458	Staphylococcus pseudintermedius	Universidade Federal Fluminense	Illumina HiSeq	2023-02-14T14:53:05.930	ear	Brazil: Rio de Janeiro	2018-09-09	Canis lupus familiaris
GCA_036409535.1	SAMN33293459	Staphylococcus pseudintermedius	Universidade Federal Fluminense	Illumina HiSeq	2023-02-14T14:53:05.940	nasal fossa	Brazil: Rio de Janeiro	2018-09-11	Homo sapiens
GCA_002632875.1	SAMN05375104	Xenorhabdus kozodoii	Goethe University	Illumina	2016-07-12T02:46:02.313		Russia: Voronez	missing	Steinernema arenarium
GCA_963876105.1	SAMEA115017548	Xenorhabdus kozodoii	Nanjing Agriculture University	not collected	2024-03-02T10:03:39.122		not collected	not collected	
GCA_035398645.1	SAMN32865064	Petrotogaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.027	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036733465.1	SAMN28746381	Petrotogaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:55:38.820	sludge	USA	2015-03-09	
GCA_035394515.1	SAMN32865274	Candidatus Pacearchaeota archaeon	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:09.067	Activated sludge of municipal wastewater treatment plants	Japan	2015-04-20	
GCA_036736725.1	SAMN28746660	bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T04:53:36.673	sludge	Japan	2015-04-20	
GCA_008033585.1	SAMN12125739	Escherichia coli	Copenhagen University Hospital Hvidovre	Illumina MiSeq	2019-06-24T09:20:06.606	urine	Denmark:Copenhagen	missing	Homo sapiens
GCA_024198375.1	SAMN29499955	Escherichia coli	Roskilde University	Illumina MiSeq	2022-07-05T10:00:10.967	urine	Denmark:Copenhagen	2018	Homo sapiens
GCA_002165785.1	SAMN03457016	Campylobacter concisus	Institute of Environmental Science and Research (ESR)	Illumina MiSeq	2015-04-01T19:23:23.000	stool	South Africa	1999	Homo sapiens
GCA_902387055.1	SAMEA5851933	Campylobacter concisus	EMG	Illumina	2019-08-07T10:18:24.616	human gut	not provided		
GCA_900550865.1	SAMEA4891967	uncultured Dorea sp.	EBI	Illumina	2019-01-28T10:11:36.946	human gut			
GCA_902481385.1	SAMEA5852497	uncultured Dorea sp.	EMG	Illumina	2019-08-07T10:18:42.383	human gut	USA		
GCA_002900865.1	SAMEA3217997	Bacteroides uniformis	CGS-GL		2015-02-25T11:25:18.156				
GCA_002900885.1	SAMEA3217997	Bacteroides uniformis	CGS-GL		2015-02-25T11:25:18.156				
GCA_900552385.1	SAMEA4892124	uncultured Collinsella sp.	EBI	Illumina	2019-02-08T12:13:13.603	human gut			
GCA_902481855.1	SAMEA5852544	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:43.916	human gut	Netherlands		
GCA_014856585.1	SAMN12518057	Bacillus subtilis	Mohammad Ali Jinnah University	Illumina HiSeq	2019-08-07T09:25:03.367	leaves	Pakistan: Sindh	2015	mango
GCA_013141905.1	SAMN11394157	Bacillus sp. seq1	Mohammad Ali Jinnah University	Illumina HiSeq	2019-04-11T04:05:07.787	leaves	Pakistan: Hyderabad	2014	mango
GCA_902484545.1	SAMEA5852807	uncultured Alloprevotella sp.	EMG	Illumina	2019-08-07T10:18:52.493	human gut	Mongolia		
GCA_900763785.1	SAMEA5279600	Bacteroidaceae bacterium	DOE JGI	Illumina HiSeq 4000	2019-02-01T10:23:02.086	human stool	Mongolia	2018-01-01	
GCA_902485755.1	SAMEA5852937	uncultured Ruminococcus sp.	EMG	Illumina	2019-08-07T10:18:56.620	human gut	not provided		
GCA_900766905.1	SAMEA5278868	Oscillospiraceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:13:35.700	human stool	Fiji	2018-01-01	
GCA_035396365.1	SAMN32865181	Thermotogota bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.140	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-01-26	
GCA_036743375.1	SAMN28746649	Thermotogota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T04:53:36.546	sludge	Hong Kong	2015-01-26	
GCA_002899715.1	SAMN08329307	Enteroscipio rubneri	Max Rubner-Institut	Illumina MiSeq	2018-01-09T08:11:03.213	fecal sample	Germany: Karlsruhe	2016	Homo sapiens
GCA_902387165.1	SAMEA5851945	Enteroscipio rubneri	EMG	Illumina	2019-08-07T10:18:24.946	human gut	Germany		
GCA_003268205.1	SAMN09466875	Enterococcus faecium	UMCG	Illumina and Nanopore	2018-06-21T14:08:08.670	rectal swab	Netherlands: Groningen	2014	Homo sapiens
GCA_902386195.1	SAMEA5851857	Enterococcus faecium	EMG	Illumina	2019-08-07T10:18:22.353	human gut	Netherlands		
GCA_902488035.1	SAMEA5853164	uncultured Bacillota bacterium	EMG	Illumina	2019-08-07T10:19:03.870	human gut	USA		
GCA_900771735.1	SAMEA5279718	uncultured Oscillospiraceae bacterium	DOE JGI	Illumina HiSeq 2500	2019-02-01T10:24:29.420	human stool	USA	2018-01-01	
GCA_002894405.1	SAMN08098111	Proteus vulgaris	National Institute for Communicable Disease Control and Prevention, China CDC	Illumina HiSeq	2017-11-25T10:34:32.150	stool	Denmark	1979-09	Homo sapiens
GCA_902387915.1	SAMEA5852021	Proteus vulgaris	EMG	Illumina	2019-08-07T10:18:27.290	human gut	Denmark		
GCA_902170545.1	SAMEA5778882	Yersinia frederiksenii	INSTITUT PASTEUR	Illumina NextSeq 500	2019-07-19T08:15:33.553				
GCA_963900245.1	SAMEA115018972	Yersinia frederiksenii	Nanjing Agriculture University	not collected	2024-03-02T10:04:35.114		not collected	not collected	
GCA_006226255.1	SAMN07312755	Aeromonas veronii	University of Connecticut Graf Lab	Illumina MiSeq	2017-07-03T16:32:03.717	head kidney	not available	not available	perch
GCA_963883775.1	SAMEA115017955	Aeromonas veronii	Nanjing Agriculture University	not collected	2024-03-02T10:03:59.255		not collected	not collected	
GCA_000154845.1	SAMN00000014	Phocaeicola coprocola DSM 17136	Washington University Genome Sequencing Center		2008-04-04T08:44:29.466	missing	not determined	not determined	Homo sapiens
GCA_902373755.1	SAMEA5850809	Phocaeicola coprocola	EMG	Illumina	2019-08-07T10:17:49.053	human gut	not provided		
GCA_030705395.1	SAMN36775868	Stenotrophomonas geniculata	PARC-National Agricultural Research Center	Illumina HiSeq	2023-07-31T23:30:05.276	blood	Pakistan	2022-01-01	Homo sapiens
GCA_031119675.1	SAMN36409201	Stenotrophomonas geniculata	PARC-National Agricultural Research Center	Illumina HiSeq	2023-07-12T00:15:05.970	blood	Pakistan	2022-01-01	Homo sapiens
GCA_005844235.1	SAMN10863269	Bacteroides uniformis	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2019-02-01T16:08:05.010	stool	USA	2017-12-18	Homo sapiens
GCA_028396925.1	SAMN31320835	Bacteroides uniformis	Icahn School of Medicine	Illumina HiSeq	2022-10-17T16:24:14.327		USA	2017-12-18	Homo sapiens
GCA_000772945.1	SAMN02953182	Ureibacillus manganicus DSM 26584	Huazhong Agricultural University	Illumina HiSeq	2014-08-06T04:23:06.973	manganese mining soil	China	2013	
GCA_002200865.1	SAMN07255462	Ureibacillus manganicus DSM 26584	Huazhong Agricultural University	Illumina HiSeq	2017-06-19T14:21:04.313	manganese mining soil	China		
GCA_001268385.1	SAMEA3498441	Escherichia coli	Laboratory of Evolutionary Bioinformatics, SNU	Miseq 250bp PE	2015-08-06T08:06:36.300				
GCA_001269045.1	SAMEA3498442	Escherichia coli	Laboratory of Evolutionary Bioinformatics, SNU	Miseq 250bp PE	2015-08-06T08:06:36.350				
GCA_035395385.1	SAMN32865230	Tenuifilaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.657	Activated sludge of municipal wastewater treatment plants	Japan	2015-04-20	
GCA_036838025.1	SAMN28750962	Tenuifilaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:35:37.050	sludge	Japan	2015-04-20	
GCA_008704055.1	SAMN12738928	Klebsiella pneumoniae	Univeristy of Pretoria and National Health Laboratory Services	PacBio RSII	2019-09-12T14:56:18.796	urine	South Africa: Gauteng	2018	Homo sapiens
GCA_008704185.1	SAMN12738924	Klebsiella pneumoniae	Univeristy of Pretoria and National Health Laboratory Services	PacBio RSII	2019-09-12T14:56:18.697	urine	South Africa: Gauteng	2018	Homo sapiens
GCA_949487645.1	SAMEA112731331	uncultured Akkermansia sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:41.186	mouse gut metagenome	USA	2018-01-15	
GCA_949551625.1	SAMEA112730737	uncultured Akkermansia sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:21.993	mouse gut metagenome	USA	2018-01-15	
GCA_945831135.1	SAMEA110360397	uncultured Prevotella sp.	EMG	NextSeq 500	2022-07-15T08:11:17.370	pig gut metagenome	Germany	2016-08-01	
GCA_945864845.1	SAMEA110402119	uncultured Prevotella sp.	EMG	NextSeq 500	2022-07-22T13:12:51.380	pig gut metagenome	Germany	2016-08-01	
GCA_900772235.1	SAMEA5279001	Clostridia bacterium	DOE JGI	Illumina HiSeq 2500	2019-02-01T10:15:16.036	human stool	Peru	2018-01-01	
GCA_902488215.1	SAMEA5853175	uncultured Eubacteriales bacterium	EMG	Illumina	2019-08-07T10:19:04.243	human gut	Peru		
GCA_000162575.1	SAMN00004577	Helicobacter canadensis MIT 98-5491	Helicobacter canadensis MIT 98-5491 Sequence Consortium		2009-10-27T16:33:03.500				
GCA_902381655.1	SAMEA5850851	Helicobacter canadensis	EMG	Illumina	2019-08-07T10:17:50.460	human gut	not provided		
GCA_003212295.1	SAMN08886521	Pelagibacteraceae bacterium AG-447-E22	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:18.753	single cell amplified by WGA-X; seawater	Atlantic Ocean	2010-11-10	
GCA_902592815.1	SAMEA6076501	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:40.366	marine water		2010-11-10	
GCA_035396585.1	SAMN32865170	Methanothrix sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.040	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-01-26	
GCA_036733325.1	SAMN28746123	Methanothrix sp.	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:55:35.696	sludge	Hong Kong	2015-01-26	
GCA_033658845.1	SAMN37555614	Bifidobacterium longum	Beijing YuGen Pharmaceutical Co., Ltd	Illumina HiSeq	2023-09-27T05:59:05.282		China	2022-09-29	Homo sapiens
GCA_033659825.1	SAMN37555563	Bifidobacterium longum	Beijing YuGen Pharmaceutical Co., Ltd	Illumina HiSeq	2023-09-27T05:59:04.738		China	2022-09-29	Homo sapiens
GCA_000163735.1	SAMN02463831	Veillonella sp. 6_1_27	Broad Institute	454	2013-12-18T11:11:44.333	missing	not determined	not determined	Homo sapiens
GCA_902374055.1	SAMEA5850852	Veillonella parvula	EMG	Illumina	2019-08-07T10:17:50.490	human gut	not provided		
GCA_004299385.1	SAMD00144966	Alteromonas sp. KUL49	RIMG, Kochi University	454	2018-10-26T01:01:00.747		not applicable	not applicable	
GCA_006538345.1	SAMD00144966	Alteromonas sp. KUL49	RIMG, Kochi University	454	2018-10-26T01:01:00.747		not applicable	not applicable	
GCA_900767005.1	SAMEA5278528	uncultured Ruminobacter sp.	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:09:04.560	human stool	Fiji	2018-01-01	
GCA_902485845.1	SAMEA5852942	uncultured Succinivibrionaceae bacterium	EMG	Illumina	2019-08-07T10:18:56.776	human gut	not provided		
GCA_001481455.1	SAMN04126913	Cupriavidus necator	Nagaoka University of Technology	454; Illumina	2015-10-02T02:40:07.940	environmental soil	Japan: Niigata	unknown	
GCA_001853325.1	SAMN04112262	Cupriavidus necator	Nagaoka University of Technology	454; Illumina	2015-09-25T07:27:03.650	soil	Japan: Niigata	unknown	
GCA_002913945.1	SAMN08200457	Campylobacter concisus	University of Bath	Illumina MiSeq	2017-12-18T18:19:06.160	feces	Denmark: Aalborg	2016	Homo sapiens
GCA_902387085.1	SAMEA5851938	Campylobacter concisus	EMG	Illumina	2019-08-07T10:18:24.743	human gut	Denmark		
GCA_002097755.1	SAMN06263908	Vibrio paracholerae	Centro de Investigacao em Saude de Manhica (CISM)	Illumina HiSeq	2017-01-25T00:57:07.010	stool	Mozambique: Manhica	2008-04-27	Homo sapiens
GCA_963873415.1	SAMEA115017416	Vibrio paracholerae	Nanjing Agriculture University	not collected	2024-03-02T10:03:34.870		not collected	2008	
GCA_035435405.1	SAMN32867957	Bifidobacterium adolescentis	CLUE-TERRA	Illumina MiSeq	2023-01-22T13:07:07.097	Medicalfacilities Wastewater	Germany	2012-12-06	
GCA_036724485.1	SAMN28745792	Bifidobacterium adolescentis	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:09:38.496	water	Germany	2012-12-06	
GCA_949533595.1	SAMEA112731060	uncultured Angelakisella sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:32.343	mouse gut metagenome	USA	2018-01-15	
GCA_949544635.1	SAMEA112730832	uncultured Angelakisella sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:24.513	mouse gut metagenome	USA	2018-01-15	
GCA_949519195.1	SAMEA112730969	uncultured Oscillospiraceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:28.250	mouse gut metagenome	USA	2018-01-15	
GCA_949543975.1	SAMEA112731190	uncultured Oscillospiraceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:36.213	mouse gut metagenome	USA	2018-01-15	
GCA_014109765.1	SAMN14598238	Pseudomonas berkeleyensis	None	PACBIO	2020-04-14T16:31:04.456	Mesocom	USA: Berkley, California	2010	Caenorhabditis elegans
GCA_035974315.1	SAMN38840214	Pseudomonas berkeleyensis	Christian-Albrechts-University Kiel	Illumina Nextera XT + PacBio SMRT	2023-12-14T12:11:05.566	worm	Germany:Kiel	2020	Caenorhabditis elegans
GCA_014145355.1	SAMN15181529	Escherichia coli	University of Sao Paulo	Illumina NextSeq	2020-06-08T18:48:05.297	feces	Brazil: Amazonas	2013-03-01	Homo sapiens
GCA_021736165.1	SAMN14485850	Escherichia coli	University of Sao Paulo	Illumina NextSeq	2020-03-30T09:51:05.300	feces	Brazil: Sao Gabriel da Cachoeira	2013	Homo sapiens
GCA_901212365.1	SAMEA5282781	Aeromonas media	UNIVERSITY OF SHEFFIELD	Illumina	2019-02-14T08:13:07.133	River Don	United Kingdom		
GCA_963900445.1	SAMEA115018958	Aeromonas media	Nanjing Agriculture University	not collected	2024-03-02T10:04:34.831		not collected	not collected	
GCA_015560185.1	SAMN15532878	Eubacterium sp. BSD2780061688b_171218_H5	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2020-07-14T14:32:19.553	stool	USA	2017-12-18	Homo sapiens
GCA_005845155.1	SAMN10863274	Clostridium sp. BSD2780061688st1 H5	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2019-02-01T16:08:05.100	stool	USA	2017-12-18	Homo sapiens
GCA_011189575.1	SAMN08584165	Photorhabdus cinerea	University of Bern	Illumina HiSeq	2018-02-23T10:26:05.757	intestines	Hungary: Asotthalom	Missing	Heterorhabditis bacteriophora
GCA_963888115.1	SAMEA115015444	Photorhabdus cinerea	Nanjing Agriculture University	not collected	2024-03-02T10:02:29.370		not collected	not collected	
GCA_900542825.1	SAMEA4891163	uncultured Collinsella sp.	EBI	Illumina	2019-01-28T10:04:37.603	human gut			
GCA_902479295.1	SAMEA5852283	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:35.760	human gut	USA		
GCA_035396625.1	SAMN32865168	Synergistales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.020	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-01-26	
GCA_036731505.1	SAMN28746122	Synergistales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:55:35.686	sludge	Hong Kong	2015-01-26	
GCA_009767255.1	SAMN13068747	Escherichia coli	washington state university	Illumina MiSeq	2019-10-21T11:58:05.086	feces	Tanzania	2015-06-25	Chicken
GCA_009793525.1	SAMN13558860	Escherichia coli	washington state university	Illumina MiSeq	2019-12-13T10:06:09.376	feces	Tanzania	not applicable	chicken
GCA_001406435.1	SAMEA3545423	Roseburia intestinalis	SC	SLX	2015-09-23T14:07:36.120	feces	United Kingdom	2013	Homo sapiens
GCA_902362885.1	SAMEA5849577	Roseburia intestinalis	EMG	Illumina	2019-08-07T10:17:10.070	human gut	United Kingdom		
GCA_902170275.1	SAMEA5778891	Yersinia alsatica	INSTITUT PASTEUR	Illumina NextSeq 500	2019-07-19T08:15:33.773				
GCA_963901075.1	SAMEA115016767	Yersinia alsatica	Nanjing Agriculture University	not collected	2024-03-02T10:03:15.622		not collected	not collected	
GCA_012070395.1	SAMN13951607	Pseudoroseicyclus tamaricis	Third Institute of Oceanography, Ministry of Natural Resources	Illumina HiSeq	2020-01-31T02:53:09.460	offshore sediment of a Tamarix chinensis forest	China: Changyi of Shandong Province	2018-08-25	
GCA_010435925.1	SAMN13964785	Pseudoroseicyclus tamaricis	Third Institute of Oceanography, Ministry of Natural Resources	Illumina HiSeq	2020-01-31T23:40:05.940		China: Changyi, Shandong Province	2018-08-25	
GCA_002241285.1	SAMN06251409	Vibrio sp. V14_P6S14T42	Instituto de ecologia	Illumina MiSeq	2017-01-23T18:36:04.746	water column	Mexico: Cuatro Cienegas	2013-03	
GCA_963875205.1	SAMEA115017463	Vibrio sp. V14_P6S14T42	Nanjing Agriculture University	not collected	2024-03-02T10:03:37.725		not collected	not collected	
GCA_000287075.2	SAMN02470476	Vibrio ordalii FF-167	MIT	Illumina GAII; Illumina GI	2013-12-19T13:24:50.870	filtered seawater (<1um filter)	USA: Massachusetts	2006-09	
GCA_963860455.1	SAMEA115014851	Vibrio ordalii FF-167	Nanjing Agriculture University	not collected	2024-03-02T10:02:12.985		not collected	not collected	
GCA_036748695.1	SAMN28747038	Bacteroidaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:11:36.420	water	Germany	2012-06-21	
GCA_035435105.1	SAMN32867972	Prevotella sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T13:07:07.240	Medicalfacilities Wastewater	Germany	2012-06-21	
GCA_009915525.1	SAMN13870617	Proteus sp. G4400	nankai university	Illumina GAIIx	2020-01-15T21:55:03.820	missing	missing	missing	
GCA_963886225.1	SAMEA115018136	Proteus sp. G4400	Nanjing Agriculture University	not collected	2024-03-02T10:04:05.746		not collected	not collected	
GCA_001091065.1	SAMEA859938	Yersinia kristensenii	SC	SLX	2011-02-14T19:07:06.483	water	Brazil	1984-01-12	environmental
GCA_963865855.1	SAMEA115017186	Yersinia kristensenii	Nanjing Agriculture University	not collected	2024-03-02T10:03:28.871		not collected	not collected	
GCA_037168345.1	SAMN39783936	Vibrio parahaemolyticus	Huzhou CDC	Illumina NovaSeq	2024-02-03T19:46:05.140	feces	China	2023-09-28	Homo sapiens
GCA_037168765.1	SAMN39783958	Vibrio parahaemolyticus	Huzhou CDC	Illumina NovaSeq	2024-02-03T19:46:05.363	feces	China	2023-09-17	Homo sapiens
GCA_003858915.1	SAMN10476567	Escherichia coli	Sun Yat-sen University	Illumina HiSeq	2018-11-26T08:43:06.646	Gut	China:Guangdong	2013	Homo sapiens
GCA_009823005.1	SAMN11928126	Escherichia coli	Sichuan University	Illumina HiSeq	2019-06-01T07:44:07.027	feces	missing	missing	Homo sapiens
GCA_002117425.1	SAMN05982163	Propionibacterium freudenreichii	University of Florida	PacBio	2016-11-04T14:14:03.336	human breast milk fed baby feces	USA	2015-02-02	Homo sapiens
GCA_902386715.1	SAMEA5851905	Propionibacterium freudenreichii	EMG	Illumina	2019-08-07T10:18:23.820	human gut	USA		
GCA_002213845.1	SAMN07124737	Listeria monocytogenes serotype 1/2a str. 10-0933	Public Health Agency of Canada	454 Illumina	2017-05-15T15:42:20.013	blood	Canada: Quebec	2008	Homo sapiens
GCA_002213865.1	SAMN07124738	Listeria monocytogenes serotype 1/2a str. 10-0934	Public Health Agency of Canada	454 Illumina	2017-05-15T15:42:20.030	cheese	Canada: Quebec	2008	Enviroment
GCA_012952665.1	SAMN14265978	Citrobacter freundii	University of Pittsburgh School of Medicine	Oxford Nanopore MinION	2020-03-03T09:16:08.340	urine	USA: Pennsylvania, Pittsburgh	2017	Homo sapiens
GCA_016505285.2	SAMN10435572	Citrobacter freundii	University of Pittsburgh	Oxford Nanopore MinION	2018-11-16T11:11:10.537	urine	USA: Pittsburgh, Pennsylvania	2017	Homo sapiens
GCA_900091675.1	SAMEA4043116	Butyricimonas sp. Marseille-P2440	URMITE	Illumina MP 250bp	2016-06-22T09:14:11.296				
GCA_902376195.1	SAMEA5851055	Butyricimonas synergistica	EMG	Illumina	2019-08-07T10:17:56.383	human gut	not provided		
GCA_900554525.1	SAMEA4892333	uncultured Oscillospiraceae bacterium	EBI	Illumina	2019-01-28T10:14:46.610	human gut			
GCA_902481345.1	SAMEA5852489	uncultured Oscillospiraceae bacterium	EMG	Illumina	2019-08-07T10:18:42.150	human gut	USA		
GCA_902164145.1	SAMEA104694324	Klebsiella pneumoniae	SC	SLX	2019-06-29T08:07:50.703	faecal	United Kingdom	2018	Homo sapiens
GCA_902164175.1	SAMEA104694326	Klebsiella pneumoniae	SC	SLX	2019-06-29T08:07:50.750	faecal	United Kingdom	2018	Homo sapiens
GCA_949519495.1	SAMEA112730850	uncultured Angelakisella sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:24.960	mouse gut metagenome	USA	2018-01-15	
