Organism.Name	TaxID	BioProject.Accession	BioProject.ID	Group	SubGroup	Size..Mb.	GC.	Replicons	WGS	Scaffolds	Genes	Proteins	Release.Date	Modify.Date	Status	Center	BioSample.Accession	Assembly.Accession	Reference	FTP.Path	Pubmed.ID	Strain	Actual.Size
Serratia marcescens subsp. marcescens ATCC 13880	911022	PRJEB40306	674213	Pseudomonadota	Gammaproteobacteria	5.16051	59.7883	chromosome:NZ_CP071194.1/CP071194.1; plasmid unnamed:NZ_CP071195.1/CP071195.1	-	2	4930	4761	2021/03/08	2022/03/19	Complete Genome	UNIVERSITY OF JYVASKYLA	SAMEA7301503	GCA_017298715.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/298/715/GCA_017298715.1_ASM1729871v1	-	ATCC 13880 substr. Sm_S4_jyu2015	5160508
Serratia marcescens subsp. marcescens ATCC 13880	911022	PRJEB40306	674213	Pseudomonadota	Gammaproteobacteria	5.16051	59.7883	chromosome:NZ_CP071198.1/CP071198.1; plasmid unnamed:NZ_CP071199.1/CP071199.1	-	2	4930	4760	2021/03/08	2022/03/19	Complete Genome	UNIVERSITY OF JYVASKYLA	SAMEA7301501	GCA_017298775.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/298/775/GCA_017298775.1_ASM1729877v1	-	ATCC 13880 substr. Sm_S68_jyu2015	5160508
Serratia marcescens subsp. marcescens ATCC 13880	911022	PRJEB40306	674213	Pseudomonadota	Gammaproteobacteria	5.16051	59.7883	chromosome:NZ_CP071218.1/CP071218.1; plasmid unnamed:NZ_CP071219.1/CP071219.1	-	2	4930	4761	2021/03/08	2022/03/19	Complete Genome	UNIVERSITY OF JYVASKYLA	SAMEA7301491	GCA_017298975.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/298/975/GCA_017298975.1_ASM1729897v1	-	ATCC 13880 substr. Sm_S65_jyu2015	5160508
Streptococcus parasanguinis	1318	PRJNA482748	482748	Terrabacteria group	Bacillota	2.06654	42.2	-	QRQU01	11	1949	1880	2018/09/06	2022/09/04	Scaffold	BGI	SAMN09734566	GCA_003475645.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/475/645/GCF_003475645.1_ASM347564v1	-	AF30-12BH	2066544
Streptococcus parasanguinis	1318	PRJEB33885	559126	Terrabacteria group	Bacillota	2.06654	42.2	-	CABJDC01	11	1947	1880	2019/08/12	2022/10/01	Scaffold	EMG	SAMEA5849701	GCA_902364305.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/364/305/GCA_902364305.1_MGYG-HGUT-00199	-	MGYG-HGUT-00199	2066544
Bacillota bacterium	1879010	PRJNA925477	925477	Terrabacteria group	Bacillota	1.18874	44.9	-	DAOPCY01	50	1200	1159	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865182	GCA_035396345.1	-	-	38289113	AMR_MDS_3447	1188743
Bacillota bacterium	1879010	PRJNA843551	843551	Terrabacteria group	Bacillota	1.18874	44.9	-	DAIQOZ01	50	-	-	2024/02/22	2024/02/22	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28748909	GCA_036787575.1	-	-	37994269	CTOTU18412	1188743
Candidatus Limiplasma sp.	2952930	PRJNA925477	925477	Terrabacteria group	Bacillota	2.77019	55.9	-	DAOPEE01	267	2749	2676	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865150	GCA_035396965.1	-	-	38289113	AMR_MDS_3415	2770189
Candidatus Limiplasma sp.	2952930	PRJNA843551	843551	Terrabacteria group	Bacillota	2.77019	55.9	-	DAIOVG01	267	-	-	2024/02/21	2024/02/21	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28747486	GCA_036759125.1	-	-	37994269	CTOTU18380	2770189
Staphylococcus aureus	1280	PRJNA433074	433074	Terrabacteria group	Bacillota	2.86513	32.6	-	PTBL01	104	2900	2732	2018/07/10	2022/03/03	Scaffold	China Agricultural University	SAMN08470376	GCA_003310525.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/310/525/GCF_003310525.1_ASM331052v1	-	DY82	2865133
Staphylococcus aureus	1280	PRJNA842861	842861	Terrabacteria group	Bacillota	2.86513	32.6	-	JAMYYG01	104	-	-	2022/08/03	2022/08/03	Scaffold	Institute of Microbiology and Epizootics	SAMN28689885	GCA_024515875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/515/875/GCF_024515875.1_ASM2451587v1	-	DY82	2865133
Tabrizicola sp.	2005166	PRJNA925477	925477	Pseudomonadota	Alphaproteobacteria	3.04117	63.7	-	DAOLGV01	610	3608	3477	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32809450	GCA_035329405.1	-	-	38289113	AMR_MDS_0241	3041171
Tabrizicola sp.	2005166	PRJNA843551	843551	Pseudomonadota	Alphaproteobacteria	3.04117	63.7	-	DAISWQ01	610	-	-	2024/02/23	2024/02/23	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28750487	GCA_036826305.1	-	-	37994269	CTOTU2463	3041171
uncultured Methanobrevibacter sp.	253161	PRJEB21624	393957	Euryarchaeota	Methanomada group	2.11554	36.9	-	ONSJ01	69	-	-	2018/03/19	2018/03/19	Scaffold	THE ROSLIN INSTITUTE	SAMEA104666895	GCA_900320515.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/320/515/GCA_900320515.1_Rumen_uncultured_genome_RUG593	-	RUG593	2115538
uncultured Methanobrevibacter sp.	253161	PRJEB31266	522726	Euryarchaeota	Methanomada group	2.11554	36.9	-	CACVPI01	69	-	-	2020/02/10	2021/02/22	Scaffold	THE ROSLIN INSTITUTE	SAMEA6148249	GCA_902755965.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/755/965/GCA_902755965.1_Rumen_uncultured_genome_RUG10116	-	RUG10116	2115538
Paludibacteraceae bacterium	2748031	PRJNA925477	925477	FCB group	Bacteroidota/Chlorobiota group	1.96384	37.7	-	DAOOZM01	202	1692	1638	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865272	GCA_035394505.1	-	-	38289113	AMR_MDS_3537	1963837
Paludibacteraceae bacterium	2748031	PRJNA843551	843551	FCB group	Bacteroidota/Chlorobiota group	1.96384	37.7	-	DAITGV01	202	-	-	2024/02/23	2024/02/23	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28750965	GCA_036838105.1	-	-	37994269	CTOTU18502	1963837
uncultured Bacteroidia bacterium	1129257	PRJEB31266	522726	FCB group	Bacteroidota/Chlorobiota group	3.80088	47.6	-	CACWDA01	65	-	-	2020/02/10	2021/02/22	Contig	THE ROSLIN INSTITUTE	SAMEA6148604	GCA_902759555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/759/555/GCA_902759555.1_Rumen_uncultured_genome_RUG10471	-	RUG10471	3800881
uncultured Bacteroidales bacterium	194843	PRJEB21624	393957	FCB group	Bacteroidota/Chlorobiota group	3.80088	47.6	-	ONFO01	65	-	-	2018/03/19	2018/03/19	Contig	THE ROSLIN INSTITUTE	SAMEA104666353	GCA_900317155.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/317/155/GCA_900317155.1_Rumen_uncultured_genome_RUG265	-	RUG265	3800881
Mycobacterium avium subsp. paratuberculosis	1770	PRJNA314834	314834	Terrabacteria group	Actinomycetota	4.82978	69.3	chromosome:NZ_CP015495.1/CP015495.1	-	1	4567	4301	2016/05/27	2022/10/09	Complete Genome	Tamilnadu Veterinary and Animal Sciences University	SAMN04544372	GCA_001653355.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/355/GCF_001653355.1_ASM165335v1	-	MAP/TANUVAS/TN/India/2008	4829781
Mycobacterium avium subsp. paratuberculosis K-10	262316	PRJNA91	91	Terrabacteria group	Actinomycetota	4.82978	69.3	chromosome:NC_002944.2/AE016958.1	-	1	4561	4293	2001/12/27	2022/02/08	Complete Genome	Univ. Minnesota	SAMN02604086	GCA_000007865.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1	16116077	K-10	4829781
Photorhabdus temperata J3	1389415	PRJNA215811	215811	Pseudomonadota	Gammaproteobacteria	5.6618	43.7	-	AXDT01	783	5174	4610	2013/10/22	2021/12/09	Contig	Kyungpook National University	SAMN02470225	GCA_000478765.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/765/GCA_000478765.1_PtemJ3_1.0	-	J3	5661799
Photorhabdus temperata J3	1389415	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	5.6618	43.7	-	CAWLZT01	783	-	-	2024/02/29	2024/03/02	Contig	Nanjing Agriculture University	SAMEA115015368	GCA_963865335.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/865/335/GCA_963865335.1_ena-yuan-GCF_000478765.1	-	ena-yuan-GCF_000478765.1	5661799
Priestia megaterium	1404	PRJNA745340	745340	Terrabacteria group	Bacillota	5.40229	37.8	-	JAIQVO01	19	5546	5432	2024/01/03	2024/01/03	Contig	INIA	SAMN20166721	GCA_035064455.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/064/455/GCF_035064455.1_ASM3506445v1	38100951	ILBB592	5402295
Priestia megaterium	1404	PRJNA598667	598667	Terrabacteria group	Bacillota	5.40229	37.8	-	WWFB01	19	5455	5334	2024/02/15	2024/02/15	Contig	INIA	SAMN13710612	GCA_036633415.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/633/415/GCF_036633415.1_592	-	592	5402295
Corynebacterium pseudotuberculosis	1719	PRJNA507001	507001	Terrabacteria group	Actinomycetota	2.33757	52.2	chromosome:NZ_CP034410.1/CP034410.1	-	1	2115	2009	2018/12/19	2022/03/07	Complete Genome	UFMG	SAMN10477943	GCA_003955905.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/955/905/GCF_003955905.1_ASM395590v1	-	OVIAF1	2337570
Corynebacterium pseudotuberculosis	1719	PRJNA509244	509244	Terrabacteria group	Actinomycetota	2.33757	52.2	chromosome:NZ_CP039867.1/CP039867.1	-	1	2114	2010	2019/05/14	2022/07/17	Complete Genome	UFMG	SAMN10574822	GCA_005341465.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/341/465/GCF_005341465.1_ASM534146v1	-	Cap4W	2337570
Francisella noatunensis subsp. noatunensis	360196	PRJNA297804	297804	Pseudomonadota	Gammaproteobacteria	1.8675	32.4	-	VIIR01	169	2128	1837	2020/01/21	2022/01/29	Scaffold	SNP&SEQ Technology Platform, Science for Life Laboratory	SAMN07407904	GCA_009910945.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/910/945/GCF_009910945.1_ASM991094v1	-	NVI 6086	1867499
Francisella noatunensis	657445	PRJNA657836	657836	Pseudomonadota	Gammaproteobacteria	1.8675	32.4	-	JACVJL01	169	2128	1837	2021/01/11	2022/03/04	Scaffold	Northern Arizona University	SAMN16047988	GCA_016605745.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/605/745/GCA_016605745.1_ASM1660574v1	-	FDC189	1867499
Vibrio salilacus	1323749	PRJNA390014	390014	Pseudomonadota	Gammaproteobacteria	3.62	45.1	-	NIVQ01	93	3350	3210	2017/12/05	2022/04/19	Contig	National Institute for Communicable Disease Control and Prevention, China CDC	SAMN07212053	GCA_002811245.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/811/245/GCF_002811245.1_ASM281124v1	-	DSG-S6	3619996
Vibrio salilacus	1323749	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	3.62	45.1	-	CAWNRF01	93	-	-	2024/02/29	2024/03/02	Contig	Nanjing Agriculture University	SAMEA115017560	GCA_963876685.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/876/685/GCA_963876685.1_ena-yuan-GCF_002811245.1	-	ena-yuan-GCF_002811245.1	3619996
Vibrio parahaemolyticus	670	PRJNA1072230	1072230	Pseudomonadota	Gammaproteobacteria	5.10747	45.2	-	JAZHNA01	77	4598	4541	2024/03/14	2024/03/16	Contig	Huzhou CDC	SAMN39783946	GCA_037168565.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/168/565/GCF_037168565.1_ASM3716856v1	-	S2023533	5107465
Vibrio parahaemolyticus	670	PRJNA1115946	1115946	Pseudomonadota	Gammaproteobacteria	5.10747	45.2	-	JBDXPE01	77	4598	4541	2024/06/02	2024/06/04	Contig	Huzhou CDC	SAMN41518092	GCA_040010195.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/010/195/GCF_040010195.1_ASM4001019v1	-	S2023533	5107465
Vibrio sp. V07_P2A8T137	1938662	PRJNA361511	361511	Pseudomonadota	Gammaproteobacteria	3.6247	45	-	NDIC01	436	3307	3190	2017/08/04	2022/07/22	Scaffold	Instituto de ecologia	SAMN06251403	GCA_002241165.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/241/165/GCF_002241165.1_ASM224116v1	-	V07_P2A8T137	3624703
Vibrio sp. V07_P2A8T137	1938662	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	3.6247	45	-	CAWNIM01	436	-	-	2024/02/29	2024/03/02	Scaffold	Nanjing Agriculture University	SAMEA115017458	GCA_963874295.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/874/295/GCA_963874295.1_ena-yuan-GCF_002241165.1	-	ena-yuan-GCF_002241165.1	3624703
uncultured Prevotellaceae bacterium	370804	PRJEB21624	393957	FCB group	Bacteroidota/Chlorobiota group	2.46079	49.2	-	ONYX01	359	-	-	2018/03/19	2018/03/19	Scaffold	THE ROSLIN INSTITUTE	SAMEA104667116	GCA_900322195.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/322/195/GCA_900322195.1_Rumen_uncultured_genome_RUG766	-	RUG766	2460790
uncultured Prevotella sp.	159272	PRJEB31266	522726	FCB group	Bacteroidota/Chlorobiota group	2.46079	49.2	-	CACVSV01	359	-	-	2020/02/10	2021/02/22	Scaffold	THE ROSLIN INSTITUTE	SAMEA6148337	GCA_902756875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/756/875/GCA_902756875.1_Rumen_uncultured_genome_RUG10204	-	RUG10204	2460790
uncultured bacterium	77133	PRJEB21624	393957	environmental samples	uncultured bacterium	2.05291	32.3	-	OMPX01	226	-	-	2018/03/15	2018/03/15	Contig	THE ROSLIN INSTITUTE	SAMEA104666321	GCA_900313115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/115/GCA_900313115.1_Rumen_uncultured_genome_RUG770	-	RUG770	2052908
uncultured bacterium	77133	PRJEB31266	522726	environmental samples	uncultured bacterium	2.05291	32.3	-	CACWFM01	226	-	-	2020/02/10	2021/02/22	Contig	THE ROSLIN INSTITUTE	SAMEA6148658	GCA_902760105.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/760/105/GCA_902760105.1_Rumen_uncultured_genome_RUG10525	-	RUG10525	2052908
Streptomyces chartreusis NRRL 12338	1079986	PRJNA72673	72673	Terrabacteria group	Actinomycetota	8.89369	71.2	-	AGDE01	89	8104	7734	2011/09/26	2022/01/11	Scaffold	US Dept of Agriculture, NCAUR-USDA	SAMN02471828	GCA_000226455.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/455/GCA_000226455.1_ASM22645v1	22123769	NRRL 12338	8893692
Streptomyces sp. SID5464	2690293	PRJNA596543	596543	Terrabacteria group	Actinomycetota	8.89369	71.2	-	WWIQ01	89	8109	7465	2020/01/13	2022/02/05	Scaffold	University of Wisconsin-Madison	SAMN13630860	GCA_009862985.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/862/985/GCF_009862985.1_ASM986298v1	30705269	SID5464	8893692
uncultured Streptococcus sp.	83427	PRJEB26432	517255	Terrabacteria group	Bacillota	1.85017	40.1	-	UQCK01	40	-	-	2019/01/28	2019/01/28	Contig	European Bioinformatics Institute	SAMEA4890838	GCA_900539555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/539/555/GCA_900539555.1_UMGS146	-	UMGS146	1850168
uncultured Streptococcus sp.	83427	PRJEB33885	559126	Terrabacteria group	Bacillota	1.85017	40.1	-	CABTAP01	40	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852639	GCA_902482825.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/482/825/GCA_902482825.1_UHGG-TPA_MGYG-HGUT-03134	-	MGYG-HGUT-03134	1850168
Streptococcus acidominimus	1326	PRJNA527079	527079	Terrabacteria group	Bacillota	2.38243	42.7	-	SPQA01	288	2258	2119	2019/04/02	2022/04/16	Contig	King's College London	SAMN11126865	GCA_004569435.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/569/435/GCF_004569435.1_ASM456943v1	-	HT4	2382433
Streptococcus acidominimus	1326	PRJNA671681	671681	Terrabacteria group	Bacillota	2.38243	42.7	-	JADGLI01	288	2235	2075	2020/11/04	2021/11/06	Contig	King's College London	SAMN16540189	GCA_015235385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/235/385/GCA_015235385.1_ASM1523538v1	-	19428wB2_HT4	2382433
uncultured Clostridia bacterium	244328	PRJEB52643	840725	Terrabacteria group	Bacillota	1.92146	59	-	CALZPI01	189	-	-	2022/08/20	2022/09/02	Contig	EMG	SAMEA110360433	GCA_945828115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/828/115/GCA_945828115.1_SRR5240751_bin.1_metaWRAP_v1.3_MAG	-	SRR5240751_bin.1_metaWRAP_v1.3_MAG	1921456
uncultured Clostridia bacterium	244328	PRJEB52676	840749	Terrabacteria group	Bacillota	1.92146	59	-	CAMAZB01	189	-	-	2022/08/20	2022/09/02	Contig	EMG	SAMEA110402074	GCA_945862785.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/862/785/GCA_945862785.1_ERR1855543_bin.27_metaWRAP_v1.3_MAG	-	ERR1855543_bin.27_metaWRAP_v1.3_MAG	1921456
Proteus penneri	102862	PRJEB33885	559126	Pseudomonadota	Gammaproteobacteria	3.74923	37.8	-	CABMMT01	11	-	-	2019/08/16	2019/08/16	Scaffold	EMG	SAMEA5851993	GCA_902387695.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/387/695/GCA_902387695.1_UHGG_MGYG-HGUT-02488	-	MGYG-HGUT-02488	3749229
Proteus penneri ATCC 35198	471881	PRJNA20551	20551	Pseudomonadota	Gammaproteobacteria	3.74923	37.8	-	ABVP01	11	4997	4909	2009/03/12	2013/09/16	Scaffold	Washington University Genome Sequencing Center	SAMN00000019	GCA_000155835.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/835/GCA_000155835.1_ASM15583v1	-	ATCC 35198	3749229
SAR116 cluster bacterium AG-447-K02	2162584	PRJNA445865	445865	Pseudomonadota	Alphaproteobacteria	2.24697	41.6	-	QCQD01	108	-	-	2018/06/12	2018/09/11	Contig	Massachusetts Institute of Technology	SAMN08886522	GCA_003209665.1	-	-	30179231	AG-447-K02	2246969
uncultured Alphaproteobacteria bacterium	91750	PRJEB33281	572885	Pseudomonadota	Alphaproteobacteria	2.24697	41.6	-	CACJMK01	108	-	-	2019/10/30	2021/01/20	Contig	WOODS HOLE OCEANOGRAPHIC INSTITUTION	SAMEA6076577	GCA_902594495.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/594/495/GCA_902594495.1_AG-447-K02	-	AG-447-K02	2246969
Thiobacillaceae bacterium	2528409	PRJNA925477	925477	Pseudomonadota	Betaproteobacteria	2.89404	65.9	-	DAOQFL01	474	3075	3033	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32810337	GCA_035337955.1	-	-	38289113	AMR_MDS_0705	2894044
Thiobacillaceae bacterium	2528409	PRJNA843551	843551	Pseudomonadota	Betaproteobacteria	2.89404	65.9	-	DAIPZJ01	474	-	-	2024/02/22	2024/02/22	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28748479	GCA_036782255.1	-	-	37994269	CTOTU8888	2894044
Proteiniphilum sp.	1926877	PRJNA925477	925477	FCB group	Bacteroidota/Chlorobiota group	2.55765	50.7	-	DAONHS01	77	2192	2130	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865756	GCA_035404745.1	-	-	38289113	AMR_MDS_3785	2557652
Proteiniphilum sp.	1926877	PRJNA843551	843551	FCB group	Bacteroidota/Chlorobiota group	2.55765	50.7	-	DAIUKF01	77	-	-	2024/02/23	2024/02/23	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28751794	GCA_036848335.1	-	-	37994269	CTOTU18750	2557652
Vibrio parahaemolyticus	670	PRJNA483379	483379	Pseudomonadota	Gammaproteobacteria	5.18094	45.3	-	QRSD01	55	4794	4630	2019/06/20	2022/08/18	Contig	Shanghai Municipal ceter for disease control & prevention	SAMN09742582	GCA_006383385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/383/385/GCF_006383385.1_ASM638338v1	-	VP160744	5180936
Vibrio parahaemolyticus 10290	1238231	PRJEB39490	744809	Pseudomonadota	Gammaproteobacteria	5.18094	45.3	-	CAJNZR01	55	4783	4617	2021/07/08	2021/11/22	Contig	UTRECHT UNIVERSITY	SAMEA8103032	GCA_905331735.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/331/735/GCA_905331735.1_VP160744-1	-	VP160744	5180936
Chitinophagales bacterium	2448779	PRJNA761511	761511	FCB group	Bacteroidota/Chlorobiota group	2.40959	50	-	JANWWJ01	44	2020	1962	2022/09/07	2022/09/07	Contig	Universiti Teknologi Malaysia	SAMN30304747	GCA_025056305.1	-	-	-	SKYG18	2409590
Chitinophagales bacterium	2448779	PRJNA1012858	1012858	FCB group	Bacteroidota/Chlorobiota group	2.40959	50	-	JAVQZE01	44	2013	1962	2023/11/13	2023/11/13	Contig	Universiti Teknologi Malaysia	SAMN37334201	GCA_033583475.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/583/475/GCA_033583475.1_ASM3358347v1	-	SKYGB_i_bin18	2409590
uncultured Acinetobacter sp.	165433	PRJEB21624	393957	Pseudomonadota	Gammaproteobacteria	1.83148	35.5	-	ONVC01	134	-	-	2018/03/19	2018/03/19	Scaffold	THE ROSLIN INSTITUTE	SAMEA104666297	GCA_900321205.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/321/205/GCA_900321205.1_Rumen_uncultured_genome_RUG672	-	RUG672	1831476
uncultured bacterium	77133	PRJEB31266	522726	environmental samples	uncultured bacterium	1.83148	35.5	-	CACVMN01	134	-	-	2020/02/10	2021/02/22	Scaffold	THE ROSLIN INSTITUTE	SAMEA6148183	GCA_902755385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/755/385/GCA_902755385.1_Rumen_uncultured_genome_RUG10050	-	RUG10050	1831476
Paludibacteraceae bacterium	2748031	PRJNA641528	641528	FCB group	Bacteroidota/Chlorobiota group	1.82595	34.8	-	JADBMU01	215	-	-	2020/11/23	2020/11/23	Contig	Tibet Agricultural and Animal Husbandry College	SAMN15355157	GCA_015657115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/657/115/GCA_015657115.1_ASM1565711v1	33036549	MAG12	1825947
