Assembly Accession	Actual Size
GCA_040015695.1	5346350
GCA_040329355.1	5346350
GCA_004123695.1	4412039
GCA_963881175.1	4412039
GCA_025459605.1	1670384
GCA_025459825.1	1670384
GCA_025459925.1	1670383
GCA_025459965.1	1670382
GCA_900078545.1	1806744
GCA_902376015.1	1806744
GCA_033176365.1	1841947
GCA_033176545.1	1841947
GCA_002270465.1	5878941
GCA_902387025.1	5878941
GCA_002192095.1	3312779
GCA_002191495.1	3312780
GCA_902484155.1	1853403
GCA_900762035.1	1853403
GCA_022096915.1	3580978
GCA_023132955.1	3580978
GCA_000413615.1	3286575
GCA_000370505.1	3286581
GCA_009905195.1	6335031
GCA_023571485.1	6335028
GCA_002200845.1	4017054
GCA_000772955.1	4017054
GCA_900771085.1	1547831
GCA_902487915.1	1547831
GCA_003425305.1	2789810
GCA_900098005.1	2789806
GCA_036999565.1	5787079
GCA_026163905.1	5787079
GCA_001091065.1	4613802
GCA_963865855.1	4613802
GCA_902485635.1	2335712
GCA_900766775.1	2335712
GCA_003426625.1	2556671
GCA_005937465.1	2556671
GCA_040088955.1	7744823
GCA_040088975.1	7744819
GCA_040089005.1	7744823
GCA_040088935.1	7744820
GCA_038440515.1	1688783
GCA_038440655.1	1688781
GCA_025567125.1	4186633
GCA_902362595.1	4186633
GCA_035400065.1	1903699
GCA_036733225.1	1903699
GCA_003479265.1	2531065
GCA_902364095.1	2531065
GCA_025246025.1	2809615
GCA_001228085.1	2809615
GCA_013030885.1	5208181
GCA_013047115.1	5208181
GCA_036998685.1	5694526
GCA_026162205.1	5694526
GCA_001773015.1	897158
GCA_001773065.1	897158
GCA_001773215.1	897158
GCA_036998505.1	5584957
GCA_026161625.1	5584957
GCA_035397645.1	2035891
GCA_036755685.1	2035891
GCA_014237225.1	3654751
GCA_014237295.1	3654751
GCA_009739755.1	2825900
GCA_009739825.1	2825900
GCA_009739845.1	2825900
GCA_009740205.1	2825900
GCA_009739795.1	2825899
GCA_028219955.1	5985333
GCA_028219975.1	5985334
GCA_003071605.1	5140937
GCA_003204075.1	5140937
GCA_002875225.1	5556094
GCA_963877555.1	5556094
GCA_002040095.1	4700544
GCA_002038325.1	4700544
GCA_035397465.1	2224102
GCA_036817745.1	2224102
GCA_003293635.1	2833887
GCA_902388275.1	2833887
GCA_004193675.1	2337533
GCA_001481675.1	2337529
GCA_000185705.2	4391194
GCA_902374275.1	4391194
GCA_900554945.1	1872414
GCA_902481145.1	1872414
GCA_023534435.1	5400375
GCA_023535145.1	5400375
GCA_900759925.1	5334161
GCA_902483555.1	5334161
GCA_014856585.1	4050649
GCA_013141905.1	4050649
GCA_949516225.1	1639145
GCA_949544785.1	1639145
GCA_949519495.1	1992902
GCA_949530485.1	1992902
GCA_016810535.1	2818501
GCA_016810575.1	2818503
GCA_039639775.1	5410494
GCA_039639785.1	5410494
GCA_039639765.1	5410489
GCA_039637345.1	5410485
GCA_016802385.1	2257932
GCA_016802315.1	2257926
GCA_040687765.1	5362288
GCA_040687775.1	5362288
GCA_003278095.1	2226049
GCA_902558615.1	2226049
GCA_035395425.1	1628555
GCA_036735065.1	1628555
GCA_902758305.1	1871746
GCA_900319155.1	1871746
GCA_002887065.1	4411469
GCA_002887145.1	4411469
GCA_035520595.1	2262433
GCA_036836015.1	2262433
GCA_036039575.1	5126936
GCA_036227725.1	5126936
GCA_900546145.1	2461669
GCA_902481545.1	2461669
GCA_945829975.1	2426567
GCA_945878105.1	2426567
GCA_000625855.2	4685659
GCA_000623515.2	4685658
GCA_016925335.1	5603347
GCA_016925395.1	5603348
GCA_015656795.1	1663657
GCA_904501985.1	1663657
GCA_902758905.1	1707384
GCA_900321755.1	1707384
GCA_016454965.1	2512830
GCA_016455045.1	2512826
GCA_017846575.1	1850490
GCA_014874675.1	1850490
GCA_001048535.1	5630363
GCA_963866965.1	5630363
GCA_002921195.1	4879104
GCA_002924265.1	4879104
GCA_019335705.1	1899795
GCA_019335355.1	1899794
GCA_902637025.1	1186931
GCA_902637265.1	1186929
GCA_028065705.1	3587043
GCA_021847015.1	3587043
GCA_001442925.1	2592687
GCA_001485625.1	2592687
GCA_002447315.1	4411134
GCA_000364825.1	4411128
GCA_003710345.1	2810505
GCA_003710515.1	2810505
GCA_902758615.1	1816152
GCA_900318025.1	1816152
GCA_037287525.1	5098655
GCA_037287555.1	5098650
GCA_900556285.1	1716642
GCA_902483005.1	1716642
GCA_900545995.1	1901577
GCA_902481815.1	1901577
GCA_900066825.1	3815973
GCA_902362915.1	3815973
GCA_009910495.1	10489156
GCA_010550475.1	10489156
GCA_030719765.1	1670931
GCA_030719725.1	1670926
GCA_030720545.1	1670926
GCA_030078315.1	2013841
GCA_030078295.1	2013837
GCA_000782855.1	2013842
GCA_003468125.1	2354539
GCA_902364945.1	2354539
GCA_032803745.1	5495421
GCA_035020415.1	5495421
GCA_009908265.2	4142744
GCA_019130055.1	4142744
GCA_011771305.1	3262357
GCA_011773715.1	3262357
GCA_001623485.1	5189679
GCA_963869325.1	5189679
GCA_948868695.1	2196542
GCA_948955735.1	2196542
GCA_000272325.2	5639868
GCA_963860735.1	5639868
GCA_900549685.1	2600623
GCA_902481745.1	2600623
GCA_025802015.1	3296250
GCA_026015885.1	3296250
GCA_024436585.1	5621767
GCA_025532015.1	5621767
GCA_902486465.1	2318157
GCA_900768735.1	2318157
GCA_900319365.1	1954565
GCA_902756295.1	1954565
GCA_013329875.1	1063227
GCA_003672595.1	1063227
GCA_034497645.1	2814472
GCA_034507015.1	2814472
GCA_020907315.1	3064160
GCA_030125465.1	3064160
GCA_020683545.1	4409023
GCA_020683325.1	4409024
GCA_011771455.1	2340594
GCA_011773855.1	2340594
GCA_013112635.1	5325921
GCA_016743565.1	5325921
GCA_003049905.1	5341905
GCA_963878655.1	5341905
GCA_003672475.1	1545626
GCA_013330765.1	1545626
GCA_013031165.1	4144219
GCA_013031185.1	4144219
GCA_949496555.1	2085660
GCA_949544215.1	2085660
GCA_900551765.1	1208730
GCA_902479455.1	1208730
GCA_945827985.1	3042666
GCA_945867865.1	3042667
GCA_035394685.1	3711486
GCA_036771535.1	3711486
GCA_902484045.1	2025539
GCA_900761915.1	2025539
GCA_035396085.1	1458638
GCA_036793665.1	1458638
GCA_011458095.1	1563292
GCA_011462215.1	1563290
GCA_003312095.1	3896121
GCA_963895155.1	3896121
GCA_948783795.1	1668061
GCA_949060145.1	1668061
GCA_025057515.1	2880465
GCA_033583175.1	2880465
GCA_016807305.1	1654451
GCA_021890095.1	1654451
GCA_024668635.2	2864598
GCA_024668595.2	2864598
GCA_035405485.1	2598445
GCA_036825255.1	2598445
GCA_900548455.1	3911084
GCA_902482965.1	3911084
GCA_900770755.1	2865067
GCA_902487685.1	2865067
GCA_035397945.1	927183
GCA_036733485.1	927183
GCA_035325045.1	4121504
GCA_036734325.1	4121504
GCA_015316795.1	4735916
GCA_015317075.1	4735916
GCA_006246165.1	4514386
GCA_963883125.1	4514386
GCA_025057455.1	1419190
GCA_033583255.1	1419190
GCA_023534335.1	4804097
GCA_023534975.1	4804097
GCA_005774215.1	2535988
GCA_005937755.1	2535988
GCA_003462485.1	2039736
GCA_902385555.1	2039736
GCA_902757705.1	3049239
GCA_900316405.1	3049239
GCA_040369685.1	2232864
GCA_900087795.2	2232864
GCA_003214435.1	977968
GCA_902570245.1	977968
GCA_900765185.1	1956667
GCA_902484905.1	1956667
GCA_902758715.1	1671735
GCA_900321955.1	1671735
GCA_013296505.1	6140222
GCA_013296845.1	6140219
GCA_017599245.1	4705495
GCA_023154655.1	4705495
GCA_035395405.1	1346157
GCA_036803345.1	1346157
GCA_036998965.1	5802941
GCA_026161865.1	5802941
GCA_900317435.1	2172759
GCA_902757065.1	2172759
GCA_015656575.1	1921602
GCA_904502135.1	1921602
GCA_900319475.1	2403395
GCA_902759185.1	2403395
GCA_001564205.1	1480846
GCA_001564005.1	1480846
GCA_006511575.1	2797370
GCA_006511765.1	2797370
GCA_900542305.1	2117444
GCA_902481415.1	2117444
GCA_902386035.1	3456217
GCA_000581715.1	3456217
GCA_004346295.1	5600447
GCA_963881885.1	5600447
GCA_026199405.1	1623915
GCA_026199435.1	1623915
GCA_003925855.2	4826820
GCA_014169675.1	4826820
GCA_025567245.1	3932285
GCA_900066745.1	3932285
GCA_016813145.1	4035403
GCA_016813555.1	4035403
GCA_024102615.1	6033326
GCA_024178315.1	6033326
GCA_900314755.1	3009553
GCA_902756355.1	3009553
GCA_003604275.1	3701123
GCA_902364345.1	3701123
GCA_949533705.1	1815845
GCA_949548015.1	1815845
GCA_900765065.1	1366175
GCA_902484915.1	1366175
GCA_014899285.1	4420316
GCA_014899245.1	4420315
GCA_900313085.1	2136453
GCA_902755685.1	2136453
GCA_902755885.1	2708071
GCA_900316255.1	2708071
GCA_948827705.1	1832015
GCA_948964115.1	1832015
GCA_017115215.1	3165266
GCA_901284435.2	3165267
GCA_000373585.1	8596663
GCA_009862225.1	8596663
GCA_948795635.1	1673370
GCA_948912775.1	1673370
GCA_023716405.1	2821275
GCA_023716325.1	2821275
GCA_023716285.1	2821269
GCA_035441765.1	2505319
GCA_036724015.1	2505319
GCA_036999845.1	5635364
GCA_026164075.1	5635364
GCA_015656355.1	2020038
GCA_904502145.1	2020038
GCA_902850335.2	2190275
GCA_903909965.1	2190275
GCA_015656955.1	1722733
GCA_904501705.1	1722733
GCA_902755295.1	2878766
GCA_900317695.1	2878766
GCA_902759875.1	1612091
GCA_900322025.1	1612091
GCA_004637225.1	4112703
GCA_004635905.1	4112699
GCA_001319955.1	4273558
GCA_902388035.1	4273558
GCA_900318035.1	2288391
GCA_902759475.1	2288391
GCA_014281135.1	4078052
GCA_019093005.1	4078052
GCA_902170345.1	5013236
GCA_963901255.1	5013236
GCA_902755055.1	3148055
GCA_900316465.1	3148055
GCA_902756995.1	2000557
GCA_900315235.1	2000557
GCA_015657335.1	2234701
GCA_904501645.1	2234701
GCA_014145355.1	5132152
GCA_021736165.1	5132152
GCA_003457015.1	4253785
GCA_003457035.1	4253783
GCA_902759635.1	2273524
GCA_900317815.1	2273524
GCA_015657215.1	1473003
GCA_904501865.1	1473003
GCA_003667985.1	5552483
GCA_963894355.1	5552483
GCA_900762005.1	2142222
GCA_902484135.1	2142222
GCA_035395985.1	975653
GCA_036808805.1	975653
GCA_902487865.1	1872155
GCA_900771015.1	1872155
GCA_003463225.1	4465025
GCA_902385275.1	4465025
GCA_001039615.1	4549724
GCA_963865715.1	4549724
GCA_038377095.1	2971142
GCA_038377045.1	2971139
GCA_003213715.1	1093635
GCA_902570965.1	1093635
GCA_036998765.1	5779638
GCA_026163745.1	5779638
GCA_001050095.1	2712841
GCA_902375565.1	2712841
GCA_016807425.1	1617386
GCA_021890215.1	1617386
GCA_001582695.1	3597996
GCA_001582705.1	3597996
GCA_013415235.1	1802210
GCA_015234765.1	1802210
GCA_003473415.1	3117648
GCA_902364475.1	3117648
GCA_009362465.1	2164763
GCA_014267345.1	2164763
GCA_902803925.1	2783739
GCA_900313905.1	2783739
GCA_001049715.1	2835868
GCA_002900905.1	2835868
GCA_949517935.1	1825292
GCA_949541175.1	1825292
GCA_900762495.1	3080391
GCA_902484325.1	3080391
GCA_948531915.1	2068018
GCA_948923915.1	2068018
GCA_949115285.1	2068018
GCA_001689935.1	4791235
GCA_001690005.1	4791235
GCA_902483215.1	1544132
GCA_900544575.1	1544132
GCA_001401995.1	3267534
GCA_001402025.1	3267534
GCA_015558205.1	3334489
GCA_039762135.1	3334489
GCA_000005845.2	4641652
GCA_004358965.1	4641652
GCA_009800285.1	4641651
GCA_009800265.1	4641649
GCA_002632685.1	5148996
GCA_963876565.1	5148996
GCA_003216195.1	1235579
GCA_902564545.1	1235579
GCA_000735935.1	4539435
GCA_000736075.1	4539435
GCA_000735915.1	4539435
GCA_963900955.1	4768869
GCA_902506035.1	4768869
GCA_034497665.1	2792609
GCA_034506935.1	2792609
GCA_017798245.1	2809270
GCA_022832775.1	2809270
GCA_001644705.1	4919833
GCA_027920765.2	4919828
GCA_035581945.1	3152216
GCA_036409255.1	3152216
GCA_004024495.1	4528189
GCA_963882215.1	4528189
GCA_024652845.1	3292175
GCA_024652865.1	3292175
GCA_004636885.1	4106638
GCA_004636345.1	4106636
GCA_001985005.1	4104313
GCA_001988195.1	4104309
GCA_900465145.1	4104308
GCA_004009415.1	4104306
GCA_001307645.1	4104305
GCA_002736145.1	2306349
GCA_902388175.1	2306349
GCA_003672825.1	1742852
GCA_013329995.1	1742852
GCA_003673025.1	1565837
GCA_013330155.1	1565837
GCA_002446955.1	4411382
GCA_002447695.1	4411379
GCA_019378735.1	4546645
GCA_019378715.1	4546642
GCA_003280005.1	1050652
GCA_902551105.1	1050652
GCA_003434055.1	6045490
GCA_902364085.1	6045490
GCA_900169485.1	1447956
GCA_902386915.1	1447956
GCA_938049535.1	757381
GCA_947486215.1	757381
GCA_001487125.1	3397023
GCA_902375975.1	3397023
GCA_003813045.1	6409101
GCA_016889205.1	6409097
GCA_902759275.1	1666787
GCA_900320895.1	1666787
GCA_003437055.1	1974590
GCA_902399865.1	1974590
GCA_016600925.1	1775624
GCA_016350125.1	1775616
GCA_016906105.1	2024424
GCA_016906085.1	2024424
GCA_003469405.1	4497091
GCA_902364825.1	4497091
GCA_008121455.1	2494407
GCA_003425665.1	2494407
GCA_902387315.1	2494407
GCA_900767955.1	2580548
GCA_902486065.1	2580548
GCA_030549395.1	3753617
GCA_023806745.1	3753617
GCA_020052435.1	1234797
GCA_020059625.1	1234797
GCA_014076795.1	4527039
GCA_963890185.1	4527039
GCA_902399815.1	2305804
GCA_003437035.1	2305804
GCA_003384145.1	2465584
GCA_005937345.1	2465584
GCA_001307105.1	3649005
GCA_018200265.1	3649005
GCA_006243325.1	4803087
GCA_963882465.1	4803087
GCA_020783575.1	6740828
GCA_020783615.1	6740829
GCA_020783535.1	6740828
GCA_020783515.1	6740826
GCA_900545905.1	1895587
GCA_902483405.1	1895587
GCA_030719965.1	1670844
GCA_030719825.1	1670837
GCA_030720605.1	1670837
GCA_009847665.1	1798223
GCA_039889335.1	1798220
GCA_003475645.1	2066544
GCA_902364305.1	2066544
GCA_035325025.1	5299772
GCA_036724445.1	5299772
GCA_902756395.1	2125954
GCA_900316185.1	2125954
GCA_902758665.1	2220304
GCA_900319685.1	2220304
GCA_012912135.1	6257395
GCA_963887565.1	6257395
GCA_902754885.1	1234946
GCA_900313695.1	1234946
GCA_000287155.2	3894846
GCA_963861205.1	3894846
GCA_001442875.1	2680570
GCA_001536225.1	2680570
GCA_002894405.1	3639158
GCA_902387915.1	3639158
GCA_015571955.1	5018506
GCA_015571815.1	5018513
GCA_900547435.1	3044653
GCA_902482475.1	3044653
GCA_900320675.1	1694395
GCA_902759725.1	1694395
GCA_009704015.1	1250082
GCA_947461895.1	1250082
GCA_900768145.1	1461047
GCA_902486265.1	1461047
GCA_900313155.1	1152559
GCA_902759735.1	1152559
GCA_949811785.1	5113534
GCA_949813085.1	5113534
GCA_023716165.1	2821246
GCA_023716265.1	2821253
GCA_902365045.1	2352650
GCA_003467145.1	2352650
GCA_020052335.1	1706959
GCA_020061165.1	1706959
GCA_000700925.1	1080448
GCA_000700845.1	1080447
GCA_000700865.1	1080447
GCA_000700885.1	1080446
GCA_000700905.1	1080446
GCA_033583555.1	2828928
GCA_025056215.1	2828928
GCA_027557955.1	2566312
GCA_027557735.1	2566309
GCA_001187865.1	4256263
GCA_963867435.1	4256263
GCA_900321125.1	2642899
GCA_902757345.1	2642899
GCA_900319545.1	2488276
GCA_902757805.1	2488276
GCA_034930645.1	3504528
GCA_034930535.1	3504526
GCA_900316505.1	3048346
GCA_902755925.1	3048346
GCA_022096895.1	2748435
GCA_023139025.1	2748435
GCA_035520075.1	1758719
GCA_036802265.1	1758719
GCA_035405425.1	1604247
GCA_036748195.1	1604247
GCA_002155265.1	2337763
GCA_002794435.1	2337756
GCA_001543175.1	1974262
GCA_016026975.1	1974256
GCA_001580095.1	5206456
GCA_001580105.1	5206456
GCA_000069185.1	5090491
GCA_035759335.1	5090491
GCA_035761185.1	5090491
GCA_035763005.1	5090491
GCA_035764585.1	5090491
GCA_015554965.1	3726442
GCA_005844125.1	3726442
GCA_011189505.1	5163014
GCA_963888005.1	5163014
GCA_943787685.1	2570005
GCA_943844825.1	2570005
GCA_034651215.1	4925667
GCA_036039185.1	4925667
GCA_034651315.1	4925671
GCA_036039365.1	4925671
GCA_009905015.1	3821490
GCA_963886585.1	3821490
GCA_037059965.1	4724185
GCA_001148885.1	4724188
GCA_964198795.1	5763585
GCA_964199025.1	5763585
GCA_004847625.1	4726558
GCA_004847745.1	4726558
GCA_004847565.1	4726556
GCA_009741445.1	4956929
GCA_020735285.1	4956930
GCA_016902915.1	4578709
GCA_016902855.1	4578711
GCA_035113765.1	1099311
GCA_035113865.1	1099306
GCA_022871165.1	2833398
GCA_022871185.1	2833398
GCA_003468475.1	3404640
GCA_902364815.1	3404640
GCA_002886505.1	4411399
GCA_002447235.1	4411398
GCA_001405015.1	3449564
GCA_902362765.1	3449564
GCA_010092655.1	1932640
GCA_022509305.1	1932640
GCA_035405345.1	1409009
GCA_036836395.1	1409009
GCA_013415245.1	1967238
GCA_015234615.1	1967238
GCA_003311825.1	4021660
GCA_963878545.1	4021660
GCA_015272975.1	2757937
GCA_022396215.1	2757937
GCA_900104575.1	4863531
GCA_902386805.1	4863531
GCA_001855145.1	2788370
GCA_003710305.1	2788370
GCA_029284775.1	4067669
GCA_029285075.1	4067669
GCA_029285275.1	4067669
GCA_029285395.1	4067670
GCA_029285675.1	4067669
GCA_023893915.1	3861678
GCA_024594855.1	3861678
GCA_015904925.1	1672961
GCA_017594905.1	1672961
GCA_005845205.1	2251529
GCA_015548755.1	2251529
GCA_945831185.1	2246653
GCA_945874955.1	2246653
GCA_902755665.1	2495623
GCA_900321115.1	2495623
GCA_035393445.1	4431564
GCA_036825275.1	4431564
GCA_012045365.1	2774080
GCA_012045505.1	2774076
GCA_002859645.1	4102575
GCA_001985985.1	4102567
GCA_035441525.1	1896474
